Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,21.3,21.4,20,20.2,39,611382,12231770.9
7/4/24,21,21,20.1,20.3,62,55561,1130980.9
7/3/24,21.1,21.4,20.8,21.1,26,6262,130499.1
7/2/24,21.4,21.4,20.8,20.9,33,7886,165255.4
7/1/24,21.1,21.6,20.8,21,27,9989,209577.4
6/28/24,21.1,21.8,20.7,21.2,24,30270,646056.1
6/27/24,22,22,20.5,21.1,66,75643,1603418.3
6/26/24,22,22,21.4,21.5,29,64765,1396330.1
6/25/24,22,22,21.5,21.9,47,77613,1688903
6/24/24,22.4,22.4,21.9,22,41,36723,808826.2
6/20/24,22,22.5,22,22.3,51,119172,2673309.8
6/19/24,22.4,22.5,21.8,22,44,115968,2546328
6/18/24,22.4,22.4,21.9,22,36,63364,1389413.6
6/14/24,22.2,22.4,22,22.1,42,157776,3488928.1
6/13/24,22.3,22.3,22,22.1,29,64080,1420276.9
6/12/24,22.2,22.4,22,22.3,53,100294,2231471.6
6/11/24,22.1,22.5,22,22.3,148,712865,15789993.6
6/11/24,22.1,22.5,22,22.3,148,712865,15789993.6
6/10/24,22.1,22.3,21.8,21.8,33,33857,745231.5
6/7/24,22.2,22.2,21.7,22.1,12,6377,140456.7
6/6/24,22.3,22.3,21.7,22.2,31,33440,729471.1
6/5/24,22,22.2,21.9,22.1,57,219507,4829867.6
6/4/24,21.4,22,21.2,22,69,250083,5384689.8
6/3/24,21.4,22,21.4,21.9,12,670,14550.7
5/31/24,22.4,22.8,21.7,21.8,64,106728,2348460.4
5/30/24,21.5,22,21.4,21.5,43,257231,5632437.2
5/29/24,22.2,22.2,21.1,21.5,69,103620,2239277.5
5/28/24,22.3,22.3,21.3,22.2,35,20765,446869.7
5/27/24,22.4,22.4,21.2,22.3,55,77161,1660321.5
5/22/24,21.8,22.4,21.8,22.1,34,24392,537972.2
5/21/24,21.3,22.1,21.1,21.8,30,14097,302392.1
5/20/24,22.4,22.9,20.8,21.7,83,77227,1650857.8
5/17/24,22.4,22.9,21.9,22.4,53,60332,1331627
5/16/24,22.4,22.8,22.2,22.3,46,131590,2972224.4
5/15/24,22.8,23,22.3,22.4,66,264084,5960798.1
5/14/24,22.9,23,22.4,22.8,71,264911,6011492.2
5/13/24,22.9,23,22.5,22.9,71,295556,6744616
5/10/24,22.5,22.9,22.4,22.6,186,507012,11451310
5/9/24,22,22.5,21.8,22.1,91,563813,12422674.5
5/8/24,22.5,22.6,21.9,22,107,299355,6626740.9
5/7/24,22.5,22.7,22.3,22.6,56,92322,2064903.3
5/6/24,22.6,22.9,22.1,22.5,72,122980,2767200.2
5/3/24,21.8,22.7,21.5,22.4,184,1081038,24016040
5/2/24,21.9,22.3,21.8,21.9,120,112376,2466895.1
4/30/24,21.8,22,21.5,21.8,78,126614,2756090
4/29/24,21.5,22,21.4,21.8,165,416703,9020859.7
4/26/24,21.5,21.7,21.3,21.4,103,147468,3168534.7
4/25/24,20.8,21.5,20.8,21.4,157,229605,4892028.7
4/24/24,20.7,20.9,20.5,20.8,36,78662,1625699
4/22/24,20.6,20.9,20.1,20.7,53,48701,1007572.4
4/19/24,20.4,20.7,20,20.2,93,195105,3960031
4/18/24,20.2,21.1,20.2,20.8,106,219770,4589966.5
4/17/24,20.9,21,20,20.7,99,224568,4616233.9
4/16/24,21.3,21.4,20.9,20.9,109,216698,4558202.2
4/15/24,21.7,21.8,21,21.7,68,80954,1738130.9
4/10/24,22,22,21.5,21.7,91,341725,7424684.3
4/9/24,20.5,22,20.5,21.7,388,1872470,40040517.3
4/8/24,20.9,20.9,20.4,20.7,99,435727,8994130.9
4/5/24,20.1,20.9,20,20.7,129,364101,7489821.3
4/4/24,20.4,21,20.2,20.3,146,318913,6541992.2
4/3/24,19.9,20.7,19.9,20.4,312,1376033,27774641.5
4/2/24,19.2,19.9,19.2,19.8,148,374442,7348054.2
4/1/24,19.1,19.5,18.9,19.2,70,132433,2564384.6
3/28/24,19,19.4,18.8,19.1,83,266419,5130662.7
3/27/24,19.2,19.3,18.8,19,70,176104,3347631.7
3/26/24,18.9,19.3,18.6,18.9,65,195935,3760588.8
3/25/24,19,19.2,18.4,18.5,76,188796,3506645.3
3/22/24,18.2,19.5,18.1,19.1,178,568083,10775926.6
3/21/24,18.5,18.5,18,18,37,50551,912907
3/20/24,18.5,18.5,18.3,18.3,32,52073,956329.9
3/19/24,18,18.6,18,18.5,129,838234,15453166.2
3/18/24,18.2,18.5,17.6,17.7,81,246803,4443518.8
3/15/24,17.3,18.4,17.1,18,101,221390,3913590
3/14/24,17.5,17.9,17.1,17.5,67,62489,1091067.3
3/13/24,18.1,18.4,17.5,17.6,67,109354,1933289
3/12/24,17.5,18.5,17,18.1,195,577487,10399210.5
3/11/24,17.4,17.5,17,17.2,48,39117,670308.1
3/7/24,17.5,17.7,17.1,17.4,48,83212,1448108.9
3/6/24,17,17.6,17,17.5,100,309985,5386857.6
3/5/24,17.2,17.3,16.5,17,92,87818,1486528.1
3/4/24,16.5,17.2,16.4,16.8,97,434793,7205903.6
3/1/24,16.8,16.8,16.2,16.5,44,24807,408340.6
2/29/24,16.6,16.8,16.3,16.4,48,30891,509066.1
2/28/24,16.3,16.8,16.3,16.7,78,224990,3752440.9
2/27/24,16,16.2,16,16.1,36,27696,445593.5
2/26/24,16,16,15.3,15.3,25,8641,134466.7
2/22/24,16,16.2,15.7,16,19,11935,190023.3
2/21/24,16.2,16.4,15.7,16.3,29,18072,289610.5
2/20/24,16,16.4,16,16.1,27,6676,108486.7
2/19/24,15.4,16.2,15.4,15.7,63,42560,669939.9
2/16/24,15.5,15.5,15.1,15.4,9,2752,42191.1
2/15/24,15.5,15.6,15,15.1,40,70427,1067708.5
2/14/24,15.5,15.5,15.1,15.1,10,7641,115497.5
2/13/24,15.5,15.5,15,15,29,38635,580879
2/12/24,15.5,15.7,15.1,15.7,15,7240,110557.5
2/9/24,15.1,15.5,15.1,15.1,18,5950,90062.8
2/8/24,15.3,15.5,15.1,15.1,25,5538,84277.5
2/7/24,15.4,15.6,15.2,15.3,37,51686,796310.6
2/6/24,15.1,15.4,15,15,16,29074,437778.8
2/2/24,14.9,15,14.9,15,11,3901,58341.6
2/1/24,15.2,15.2,15,15.1,6,2325,35000
1/31/24,15,15,14.8,14.9,20,14293,212889.4
1/30/24,15.4,15.4,14.8,14.8,89,55371,827794.7
1/29/24,15.4,15.4,15,15.3,25,11873,180137.2
1/26/24,15.5,15.6,15.1,15.4,24,35649,551097
1/24/24,14.9,15,14.9,15,9,5150,76850
1/23/24,15.4,15.5,14.9,15,39,86384,1297137.6
1/22/24,15.6,15.6,15,15,34,26278,396335.3
1/19/24,15.3,15.8,15.2,15.2,13,6302,96304.7
1/18/24,15.6,15.9,15.1,15.3,54,18873,289287.1
1/17/24,15.7,16.1,15.6,15.7,7,3716,58283.4
1/16/24,15.5,16.1,15.5,16.1,13,51620,825770
1/12/24,16,16,15.7,15.7,8,3501,54986
1/11/24,15.7,15.7,15.6,15.7,12,12149,189544.4
1/10/24,16.1,16.1,15.9,15.7,2,12,191
1/9/24,16.1,16.1,16.1,15.7,2,3,48.3
1/8/24,16.2,16.2,15.6,15.7,34,81190,1274937.8
1/5/24,16,16.5,15.8,16,44,84465,1373385.6
1/4/24,15.8,16.3,15.7,15.6,10,26,412.4
1/3/24,16,16,15.6,15.6,18,3220,50420.5
1/2/24,16,16.3,15.7,15.8,13,4487,71236.5
12/29/23,15.7,16.4,15.5,15.6,53,44854,698263.3
12/28/23,16,16.5,15.6,15.7,32,33301,523857.2
12/27/23,16,16,15.9,16,13,8090,129248
12/22/23,15.9,16.5,15.9,16.1,10,2420,38736.2
12/21/23,16.1,16.4,16,16,5,872,13957.8
12/20/23,16.1,16.6,16.1,16.1,5,1500,24274
12/19/23,16.4,16.4,15.9,16,16,14855,237463.6
12/18/23,16.1,16.4,16,16.4,14,13267,213777.8
12/15/23,16.4,16.4,16,16,7,1543,24688.5
12/14/23,16.5,16.5,16,16,5,1001,16016.5
12/13/23,16.3,16.4,16,16.4,13,30501,497761.4
12/12/23,16.1,16.5,15.9,15.9,62,47843,765736.1
12/11/23,16.3,16.8,16.3,16.5,16,2332,38525.1
12/8/23,16.3,16.3,16,16.1,27,45311,725528.6
12/7/23,16.5,16.5,16.1,16.4,5,9053,146194.5
12/6/23,16.5,16.5,16,16,11,7112,114018.2
12/5/23,16,16.5,16,16.4,22,97400,1558764.9
12/4/23,16.1,16.5,16,16.1,25,26222,421530
12/1/23,16.5,16.5,16.2,16.5,14,2570,42339.5
11/30/23,16.5,16.5,16.1,16.4,5,397,6510.5
11/29/23,16.4,16.5,15.9,16.2,13,2217,36397.4
11/28/23,16.5,16.5,15.8,15.9,30,9722,155020.5
11/27/23,16.6,16.6,15.9,16.1,27,7651,124845.2
11/24/23,16,16.7,15.6,16.2,53,54345,857668.5
11/23/23,16,16.5,15.5,15.6,60,39613,628876.4
11/22/23,16,16,15.7,16,23,16548,260409.2
11/21/23,16,16,15.5,15.6,30,28533,444021.2
11/20/23,16.2,16.2,15.6,15.7,32,41535,652301.1
11/17/23,16,16.2,15.6,16,54,75184,1188029.4
11/16/23,16.3,16.3,15.9,15.9,17,19766,314280.3
11/15/23,16.3,16.3,16,16,10,13254,212065
11/14/23,16.5,16.5,16,16.1,8,7774,126104.7
11/13/23,16.5,16.5,15.9,16.4,17,15038,241001.6
11/10/23,16,16.6,15.8,16,47,27312,434095.9
11/9/23,16.6,16.6,16.1,16.1,5,2047,33015.6
11/8/23,16.2,16.8,15.9,16.6,42,30926,494742.4
11/7/23,16.8,16.8,16.2,16.7,10,8069,132579.7
11/6/23,17,17,15.5,16.7,55,54396,870842
11/3/23,16.4,17,16.4,16.5,6,523,8638.3
11/2/23,16.9,17,16.4,16.9,24,17356,293038.2
11/1/23,16.4,17.3,16,16.7,88,133186,2223375.6
10/31/23,16.4,16.4,16,16,9,6925,110808.5
10/30/23,16.4,16.4,16,16.1,23,11658,187271.2
10/27/23,16,16.5,16,16.4,16,2090,33968.1
10/26/23,16.8,16.8,15.6,15.9,41,35843,571240.9
10/25/23,16.1,16.9,16,16.2,33,21862,351638
10/24/23,16.2,16.5,15.9,16.4,28,38056,610584.2
10/23/23,17,17,16.1,16.3,26,10827,178911.4
10/20/23,16.8,16.9,16,16.4,65,81680,1331400.8
10/19/23,16,16.8,15.5,16,108,93740,1479890.6
10/18/23,16.9,16.9,16,16,50,21816,352767.1
10/17/23,16.9,17,16.3,16.3,30,19828,326186.4
10/16/23,17.5,17.5,16.5,16.6,37,25500,424156.6
10/13/23,17.5,17.5,17,17,17,3807,64826.5
10/12/23,16.8,17.7,16.4,17.2,80,44070,755065.1
10/11/23,16.8,17.4,16.5,16.8,38,28310,470163.8
10/10/23,17.1,17.8,16.8,17.1,69,104862,1784758.6
10/9/23,17.7,18,16.9,17.2,82,94462,1615165.2
10/6/23,18,18,17.8,17.8,24,20946,373073.8
10/5/23,18,18,17.9,17.9,21,27772,499631
10/4/23,17.9,18.3,17.5,18,23,36594,659988
10/3/23,17.5,18.2,17.5,18,31,18257,327522.8
10/2/23,18.4,18.4,17.5,17.7,59,109227,1948141.8
9/27/23,18.4,18.6,18.1,18.2,48,200134,3665360
9/26/23,18.2,18.3,18,18.1,24,22968,414997.6
9/25/23,18.3,18.5,18,18,50,43477,793794.4
9/22/23,18.4,18.4,18,18,33,14546,262177.8
9/21/23,18.5,18.5,18.2,18.2,23,16882,309031
9/20/23,18.6,18.6,18.3,18.6,51,35971,664337.3
9/19/23,18.4,18.6,18.1,18.2,57,38082,695842.7
9/18/23,19.3,19.3,18.1,18.5,58,69129,1276161.9
9/15/23,19.3,19.4,19,19.1,38,13308,254507.4
9/14/23,18.3,19.6,18.3,19.2,245,335708,6416940
9/13/23,18,18.3,18,18.3,63,136222,2480543.4
9/12/23,18.6,18.6,17.8,18.2,62,71882,1285932.3
9/11/23,18.3,18.6,18.2,18.5,118,130189,2400909.8
9/8/23,18,18.6,17.6,18.3,191,341780,6143386.3
9/7/23,17.4,18,17.4,17.6,208,330751,5882843
9/6/23,16.8,17.4,16.8,17.3,100,176823,3013528.3
9/5/23,16.8,17,16.6,16.7,49,76662,1292967
9/4/23,16.5,16.9,16.5,16.5,27,46136,761444.6
9/1/23,16.9,16.9,16.3,16.5,64,148937,2451367.3
8/31/23,16.8,16.9,16.5,16.9,35,35034,586732.9
8/29/23,16.5,16.6,16,16.5,34,85000,1392326.6
8/28/23,16.5,16.7,16.1,16.2,38,48102,789470.1
8/25/23,16.6,16.6,16,16.4,90,252131,4086055.1
8/24/23,16.6,16.9,16.4,16.8,68,102382,1687447
8/23/23,16.6,16.9,16.5,16.7,120,312962,5216062.4
8/22/23,16.8,16.8,16.4,16.7,57,119439,1992290.4
8/21/23,16.1,17,16.1,16.4,73,102865,1721322
8/18/23,16.1,17.4,16,16.1,158,314776,5152701.2
8/17/23,16.6,16.9,16,16.2,107,171195,2796516.9
8/16/23,16.6,16.6,16.4,16.5,53,152950,2523468.2
8/15/23,16.5,16.6,16.4,16.5,61,58312,962711.7
8/14/23,16.4,17.3,16.2,16.8,64,141572,2400943
8/11/23,17,17,16.1,16.4,62,82491,1361676.1
8/10/23,16.9,17,16.5,16.5,74,126827,2111114.4
8/9/23,16.5,17.1,16.5,16.9,63,78690,1326932.9
8/8/23,16.9,16.9,16.5,16.7,95,125036,2070926
8/7/23,17.4,17.4,16.5,16.7,108,65424,1108965.7
8/4/23,16.9,17.6,16.6,17.2,145,363004,6138404.4
8/3/23,17.1,17.3,16.9,17.1,155,331743,5637097.2
8/2/23,17.7,17.9,17,17.2,200,506043,8765782.4
7/31/23,17.8,17.9,17.6,17.9,53,41602,737968.6
7/28/23,18,18.5,17.5,17.6,140,322253,5740432.5
7/27/23,18,18.5,17.7,18,133,468591,8438836.6
7/26/23,18.5,18.7,17.7,17.8,126,158989,2853774.2
7/25/23,19,19,18,18.2,106,321431,5862188.3
7/24/23,18.9,19,18.4,18.5,104,154814,2869972.4
7/21/23,19.4,19.4,18.9,19,68,96100,1827146.5
7/20/23,19,19.5,18.8,18.9,114,248757,4732429.5
7/19/23,19.1,19.7,18.9,19.5,88,234100,4488753.6
7/18/23,19.4,19.7,18.7,19,171,343464,6521293.4
7/17/23,19.9,20.2,19.3,19.4,261,447534,8841536.6
7/14/23,20.2,20.2,19.3,19.8,105,125067,2459099.5
7/13/23,20.4,20.5,19.9,20,176,487968,9821494.4
7/12/23,19.5,20.4,19.1,20.2,335,1080189,21486219.7
7/11/23,20,20.1,19,19.3,210,398827,7707869.4
7/10/23,20.5,20.5,19.6,19.9,203,239427,4790979.4
7/7/23,18.5,20.8,18.5,20.5,824,3462734,68243633.4
7/6/23,17.4,18.6,17,18.5,220,598442,10819322.3
7/5/23,18,18,17.1,17.3,112,331349,5721025.8
7/4/23,17,18,16.6,17.9,304,1172590,20290423.6
6/28/23,16.4,16.8,16.3,16.5,54,272430,4518601
6/27/23,16.7,16.8,16.3,16.4,51,234046,3897669.4
6/26/23,16.5,16.9,16,16.8,194,791174,13251972.3
6/23/23,16.2,16.7,16,16.5,223,787737,12966097.3
6/22/23,15.5,16.3,15.5,16.3,320,1693579,26955703.3
6/21/23,14.9,15.6,14.9,15.5,131,360215,5555373
6/20/23,15,15.1,14.6,15,54,570137,8549729.6
6/19/23,14.6,14.9,14.5,14.7,22,23395,340951.6
6/16/23,14.5,14.9,14.4,14.9,31,48856,723450.6
6/15/23,14.9,15.1,14.5,14.5,36,23310,345700.9
6/14/23,14.2,15,14.2,14.9,40,238996,3573303.8
6/13/23,14.6,15,14.4,14.8,38,60579,906205
6/12/23,14.9,15,14.3,14.6,34,38970,576086.3
6/9/23,14.2,14.8,14.2,14.5,45,146340,2117923.1
6/8/23,13.7,14.5,13.7,14.2,14,14456,205281.5
6/7/23,14,14.3,14,14.2,30,47067,664492.4
6/6/23,14,14,13.6,13.6,12,8952,122828
6/5/23,14,14,13.7,13.8,18,4286,59175.5
6/2/23,13.7,14,13.7,13.8,20,27386,377425.2
6/1/23,13.3,13.7,13.3,13.6,37,71398,953035.4
5/31/23,13.7,13.7,13.1,13.2,58,34919,463691.7
5/30/23,14,14,13.4,13.4,59,36857,505784.7
5/29/23,13.7,14,13.7,13.8,21,4756,65759.6
5/26/23,14.1,14.1,13.8,13.9,25,10495,146043.9
5/25/23,14.4,14.4,13.9,13.9,45,26703,377245.9
5/24/23,14,14.6,14,14.5,16,3356,48025.1
5/23/23,13.6,14.2,13.6,13.7,7,1568,21399.8
5/22/23,14.6,14.6,13,13.7,99,50735,691006
5/19/23,14.4,14.8,14.4,14.5,29,61397,888289.2
5/18/23,14.8,14.8,14.3,14.4,22,28606,412726.3
5/17/23,14.8,14.8,14.2,14.2,21,25784,366958
5/16/23,14.8,14.8,14.2,14.2,24,11138,159307.5
5/15/23,14.2,14.9,14.2,14.5,29,8681,126957
5/12/23,14.2,14.7,14.1,14.7,15,5473,77479.9
5/11/23,14.3,14.7,14.3,14.7,31,20736,301294
5/10/23,14.6,14.6,14.4,14.5,20,4159,60374.8
5/9/23,14.8,14.8,14.5,14.6,17,7504,109373.8
5/8/23,15,15,14.5,14.5,28,8524,125509.4
5/4/23,15,15.1,15,15,8,112203,1683047.1
5/3/23,15,15,14.6,14.7,14,5254,77580.1
5/2/23,14.6,15.3,14.4,14.6,52,61237,894081.2
4/28/23,15,15.2,14.6,14.8,26,10426,155998.9
4/27/23,15.2,15.3,14.7,15,42,35121,525663.7
4/26/23,15.6,15.8,15,15.3,22,11965,182575.9
4/25/23,15.6,15.8,15.4,15.6,30,68460,1057537.6
4/24/23,15.7,15.8,15.2,15.6,54,167234,2617150.8
