Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,48,48,48,48,4,480,23040
7/4/24,48.1,49,48,48,3,1030,49452
6/27/24,51.5,51.5,50,49,2,12,603
6/24/24,49,49,49,49,6,698,34202
6/19/24,49,51.6,49,49,2,7,356
6/18/24,49.2,49.2,49,49,3,5000,245006
6/13/24,49.5,51.9,49.4,49.7,3,800,39615
6/12/24,50.9,50.9,49.5,49.5,10,1600,80320
6/11/24,50.9,50.9,50.9,49.3,1,40,2036
6/11/24,50.9,50.9,50.9,49.3,1,40,2036
6/7/24,50,50,49.3,49.3,6,733,36222.8
6/6/24,51.9,51.9,49.5,49.1,7,92,4612.2
6/5/24,51.9,51.9,51.9,49.1,1,1,51.9
6/4/24,49.2,49.2,49.1,49.1,3,723,35499.4
6/3/24,49.1,49.1,49.1,49.1,4,100,4910
5/31/24,49.5,49.5,49.5,49.5,2,2500,123750
5/30/24,51.6,51.6,49.1,51.4,4,231,11867.5
5/29/24,49.8,50,49.7,49.7,8,3714,184602
5/28/24,50.3,50.3,50.3,51.9,2,60,3018
5/27/24,51.9,52,51.8,51.9,8,511,26520.3
5/22/24,51.9,51.9,50.1,50.6,14,4740,240786
5/20/24,51.9,51.9,50,50,4,101,5054.4
5/17/24,52.3,52.3,51.1,50.7,3,36,1858.8
5/14/24,52.1,52.1,52,50.7,2,2,104.1
5/13/24,50,52.5,50,50.7,4,282,14294.8
5/10/24,52,52,50,50,17,6191,311190
5/9/24,52,52,50,50.1,4,359,17977.4
5/8/24,52,52,50,50.1,2,103,5156
5/7/24,52,52,52,52,2,120,6240
5/6/24,50.5,52,50.2,51.1,6,1431,72882
5/3/24,50.5,52,50.5,50.6,3,2072,104744
5/2/24,50.5,50.5,50.5,50.5,1,2000,101000
4/29/24,52.2,52.2,51.9,52.2,7,3295,171845
4/26/24,52.2,52.2,52,52,7,4194,218102
4/25/24,52.2,52.2,51,51,5,3295,168179
4/24/24,52,52,52,52,7,2220,115440
4/22/24,51,52,51,52,9,6913,359261
4/18/24,51.9,52.5,50.1,52,40,56161,2919155.7
4/17/24,50.1,51.8,50,51.1,4,21,1052.2
4/16/24,51,51.1,50,51.1,14,12950,661520.2
4/15/24,51.2,51.2,51,51,15,20446,1042764.2
4/10/24,51.2,51.2,51.2,49.6,1,20,1024
4/9/24,50.5,51,49.3,49.6,22,8344,412835
4/8/24,49.2,49.2,49.2,49.2,2,166,8167.2
4/5/24,50,50,50,50,2,34,1700
4/4/24,50,50,48.7,50,2,94,4616.8
4/2/24,50,51,50,50,6,4469,223464.3
4/1/24,49.5,50,49,49.5,15,4739,234591
3/28/24,49,50,49,49.4,7,11080,548430
3/27/24,48.8,50,48.8,50,4,5112,255468
3/26/24,48.8,48.8,48.8,48.8,1,1,48.8
3/25/24,48.8,50,48.8,48.8,3,1016,49600
3/22/24,50,50,50,50,2,201,10050
3/21/24,49.8,49.8,49.5,49.6,4,1750,86800.3
3/20/24,50,51,50,50,2,1501,75051
3/19/24,50,51.3,50,50.1,7,2951,147614.7
3/18/24,50.9,51,50.9,50.9,12,319,16237.5
3/15/24,50.1,50.9,50,50,7,2101,105150.9
