Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,32.5,33.3,32.5,32.9,90,110679,3622593.2
7/4/24,32.7,32.8,31.3,32.1,368,853509,27377889.6
7/3/24,33.5,33.5,32.4,32.5,347,367769,12049854.3
7/2/24,33.6,33.8,33.3,33.5,147,431030,14428009.1
7/1/24,34.1,34.4,33.1,33.1,296,346882,11688542.6
6/28/24,34.4,34.7,34.3,34.5,244,436933,15061866.3
6/27/24,34.8,34.8,34.4,34.7,103,162082,5616975.5
6/26/24,34.8,34.8,34.6,34.7,105,164524,5708119.1
6/25/24,34.6,34.8,34,34.5,272,314215,10800878.5
6/24/24,35.1,35.1,34.4,34.9,197,333483,11624957.1
6/20/24,35,35.2,34.9,35.1,154,417278,14628150.8
6/19/24,35,35,34.4,34.6,254,350419,12190821.1
6/18/24,35.3,35.7,34.6,35,249,405067,14163142.5
6/14/24,35.7,35.9,35,35.2,287,550020,19379906.6
6/13/24,36,36,35.5,35.9,104,167850,6017618
6/12/24,36,36.3,35.7,36,269,733440,26404622.9
6/11/24,36.3,36.5,35.8,36.1,397,4754471,171474325.9
6/11/24,36.3,36.5,35.8,36.1,397,4754471,171474325.9
6/10/24,35.1,36.5,35.1,35.9,322,1270008,45362435.9
6/7/24,35.1,35.1,34.9,35,126,398510,13926788.9
6/6/24,35,35.1,34.6,35,226,1044516,36565083.9
6/5/24,34.7,35,34.5,34.7,93,91283,3169957.9
6/4/24,34.4,34.9,34.2,34.6,107,48959,1698672.7
6/3/24,34.5,35,33.8,34.3,179,263324,9036737.7
5/31/24,35.4,35.4,34.5,34.8,253,681644,23823463.4
5/30/24,35.4,35.5,35.2,35.3,113,289840,10219024
5/29/24,35.5,35.6,35.1,35.3,197,695334,24615311.3
5/28/24,35.8,35.9,35.2,35.4,170,535421,18972896
5/27/24,35.7,36,35.6,35.7,140,116941,4183866.2
5/22/24,35.8,36,35.6,35.9,176,564774,20226023.4
5/21/24,35,35.8,35,35.4,188,409990,14420378
5/20/24,35.7,35.9,34.1,35.1,394,759106,26521355.8
5/17/24,35.6,36,35.1,36,263,405954,14504476.9
5/16/24,36,36.3,35.6,35.9,225,378283,13598179.2
5/15/24,36.8,37,35.9,36,465,1872125,67706853.4
5/14/24,36.9,37.3,35.6,36.3,758,2847001,104787029.8
5/13/24,36.8,37,36.2,36.9,496,2048527,75197517.9
5/10/24,35,36.8,35,36.4,991,5088783,183635546.5
5/9/24,35.3,35.3,34.4,35,378,2107968,73594427.1
5/8/24,35.1,35.5,35.1,35.2,314,1253818,44310924.3
5/7/24,35.1,35.9,34.9,35,512,3541411,124351311.7
5/6/24,34.7,35.3,34.2,35,392,3261447,113899679.7
5/3/24,34.1,34.8,33.9,34.5,441,3153446,108594353.3
5/2/24,33.7,34.7,33.7,34.1,576,4585004,157111090.3
4/30/24,33.4,33.9,33.2,33.6,329,6670756,222530432.6
4/29/24,33,34.1,33,33.3,689,5975546,201866485.1
4/26/24,32.5,33.4,32.5,33,402,2734697,90053580.6
4/25/24,31.5,32.7,30.9,32.4,345,1719813,55454807.6
4/24/24,30.7,32,30.7,31.5,202,320399,10077951.1
4/22/24,31.2,31.2,30.8,30.9,193,460041,14222560.5
4/19/24,31.5,31.5,30.9,31.1,167,374733,11655395.1
4/18/24,31.5,31.5,31.1,31.2,126,204847,6413305.9
4/17/24,31.4,31.7,31.1,31.5,167,469526,14726844.6
4/16/24,32,32,31.1,31.3,287,552616,17368645.6
4/15/24,32,32.4,31.8,32.2,134,193947,6234269.7
4/10/24,32.5,32.5,31.9,32,174,408315,13125041.7
4/9/24,31.7,32.7,31.4,32.3,474,1677265,53922802.6
4/8/24,31.6,31.7,31.2,31.5,280,935901,29433182.7
4/5/24,31.8,31.8,31.3,31.4,150,347241,10934291.8
4/4/24,31.2,31.8,31.2,31.5,242,1042995,32921478.2
4/3/24,31.5,31.6,31.1,31.3,133,500936,15722368.7
4/2/24,30.7,31.5,30.7,31.4,240,1087380,33849791.6
4/1/24,31.2,31.2,30.6,30.7,173,168164,5172775.3
3/28/24,31.7,31.8,30.9,31.1,167,294398,9162445.9
3/27/24,31,31.6,30.9,31.3,284,1033397,32147491.1
3/26/24,30.9,31.1,30.6,30.9,210,775179,23891792.9
3/25/24,31,31.1,30.5,30.6,184,309622,9504219
3/22/24,29.6,31.1,29.6,31,402,1655126,50375362.8
3/21/24,29.8,30,29.5,29.9,184,383815,11436988.7
3/20/24,29.8,30.1,29.7,29.9,238,576118,17237708.3
3/19/24,30.3,30.3,29.7,29.8,287,607633,18219870.7
3/18/24,30.5,31,29.9,30,644,1422699,42884168.1
3/15/24,31.8,32,31.7,31.9,294,1312434,41873168.3
3/14/24,31.9,32.2,31.4,31.9,401,2396957,76547038.7
3/13/24,31.9,32,31.7,31.7,205,369414,11788885
3/12/24,31.9,31.9,31.4,31.6,199,342937,10835765.7
3/11/24,31.4,32.2,31.4,31.9,289,671636,21350746.5
3/7/24,31.9,31.9,31,31.2,697,1543887,48419329.4
3/6/24,31.9,32.3,31.6,32,280,1010382,32300522.1
3/5/24,33,33.3,31.7,31.9,526,1237755,40080965.8
3/4/24,30,33.2,30,32.3,757,5887268,186562421.1
3/1/24,30.7,30.7,29.8,30,262,368315,11066805.3
2/29/24,31,31.3,30.1,30.2,234,576302,17499971.6
2/28/24,30,31,29.9,30.9,462,2240717,67992009.9
2/27/24,29.2,30,29.1,30,267,1335745,39653586.3
2/26/24,29.1,29.5,29.1,29.1,168,271468,7914630.7
2/22/24,29.8,29.8,29.1,29.5,88,194130,5728457.4
2/21/24,29.5,30.1,29.5,29.6,263,1988499,59398302.4
2/20/24,29.6,29.9,29.5,29.5,177,1453257,42921095.6
2/19/24,29.1,30,29,29.5,221,309638,9130031.4
2/16/24,29,29.3,28.7,29,164,530608,15387339.9
2/15/24,28.5,29,28,28.9,128,565504,16073426.4
2/14/24,28.5,28.5,28.1,28.2,87,126357,3566487.9
2/13/24,28.5,28.8,28.2,28.5,119,132618,3758739.3
2/12/24,29,29,28.3,28.6,125,120296,3446089.7
2/9/24,28.7,29.1,28.5,28.6,162,635220,18384858.3
2/8/24,29,29.4,28.8,28.9,180,200619,5810923.3
2/7/24,28.3,29.8,28.3,29,448,836347,24261442.4
2/6/24,27.5,28.3,27.5,28,386,1051549,29396943.8
2/2/24,27,27.2,26.5,27,114,378359,10183453.3
2/1/24,26.2,26.9,26.2,26.9,70,20102,537745.9
1/31/24,26.8,27,26,26.1,68,36359,951451.9
1/30/24,26.9,26.9,26,26.1,201,313951,8237206.2
1/29/24,27,27,26.2,26.7,119,185982,5011481.8
1/26/24,25.9,27,25.9,27,125,188955,5063842.1
1/24/24,26,26.6,25.6,25.7,136,275017,7143440.9
1/23/24,26.1,26.1,25.8,26,105,185250,4798868.2
1/22/24,26.4,26.6,25.9,26,218,296977,7761808
1/19/24,26.4,26.7,26.3,26.6,43,16658,440490.2
1/18/24,26.9,26.9,26.1,26.4,94,84474,2236232.3
1/17/24,26.6,26.9,26.2,26.3,116,142832,3765875.3
1/16/24,27,27,26.4,26.6,64,50070,1333446.1
1/12/24,26.4,27,26.4,26.8,63,51785,1381682
1/11/24,26.9,26.9,26.4,26.5,81,57393,1527246.6
1/10/24,26.5,26.9,26.5,26.6,96,138836,3681087
1/9/24,26.8,26.9,26.5,26.6,75,285942,7592519.9
1/8/24,26.9,26.9,26.2,26.3,128,130784,3452950.3
1/5/24,26.9,26.9,26.4,26.5,143,183733,4880337.3
1/4/24,26.8,26.9,26.5,26.8,77,64804,1736600.7
