Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,4.8,4.8,4.8,4.8,10,44308,212678.4
7/4/24,5,5,4.7,4.8,44,100102,480828.7
7/3/24,5,5,4.8,4.9,8,10,49.4
7/2/24,5,5,4.9,4.9,15,37016,181579.9
7/1/24,4.8,5,4.8,4.9,35,184569,902378.3
6/28/24,4.9,5,4.8,4.9,27,771860,3782114.2
6/27/24,4.9,5,4.9,5,9,25017,123583.3
6/26/24,5,5,4.9,5,28,167458,832646.4
6/25/24,5,5,4.9,5,48,569910,2811147
6/24/24,5,5.1,4.9,5,30,375438,1878166
6/20/24,4.8,5.2,4.8,5.1,119,1158246,5756277.1
6/19/24,4.8,5,4.8,4.9,20,30317,148485.6
6/18/24,5,5,4.8,4.9,41,113658,555512.2
6/14/24,5,5.1,4.9,5,67,912509,4522635.5
6/13/24,5,5,4.9,4.9,15,48261,237162.2
6/12/24,5,5,5,5,20,105710,528550
6/11/24,4.9,5,4.8,4.9,66,465208,2300693.5
6/11/24,4.9,5,4.8,4.9,66,465208,2300693.5
6/10/24,5,5,4.9,4.9,17,17654,86506.5
6/7/24,5.1,5.1,4.9,5,11,4393,21963.6
6/6/24,5.1,5.1,5,5.1,13,8261,42130.8
6/5/24,5.1,5.2,5,5.1,29,78614,402131.3
6/4/24,4.8,5.2,4.8,5,35,130375,643471.7
6/3/24,5,5,4.9,5,16,78221,390970
5/31/24,5,5,4.8,4.8,31,215826,1046119.4
5/30/24,5.1,5.1,4.9,5,25,39933,196176.7
5/29/24,4.9,5,4.9,4.9,21,40735,202381.5
5/28/24,5.1,5.1,4.9,4.9,34,146650,725846.2
5/27/24,5,5.1,5,5,12,30248,152698.4
5/22/24,5,5.1,5,5.1,88,142682,714921
5/21/24,5,5.1,4.9,5,59,128368,636138.1
5/20/24,5.2,5.2,5,5,70,343806,1725523.3
5/17/24,5.1,5.3,5.1,5.2,38,115755,601217.5
5/16/24,5.2,5.3,5.1,5.3,54,307824,1610181.8
5/15/24,5.2,5.4,5.1,5.2,173,973311,5127327.4
5/14/24,5.2,5.4,5,5.2,169,1668662,8665009.1
5/13/24,5.2,5.2,5,5.1,104,928697,4746534.8
5/10/24,5.2,5.4,4.8,5.2,312,3304121,16898812.6
5/9/24,5.5,5.6,5.3,5.5,55,263135,1442093.3
5/8/24,5.4,5.7,5.4,5.4,41,55023,303544.9
5/7/24,5.3,5.6,5.3,5.6,92,167460,931275
5/6/24,5.4,5.5,5.3,5.3,73,178236,968691.7
5/3/24,5.2,5.4,5.2,5.4,49,63359,332103.4
5/2/24,5.4,5.5,5.3,5.3,46,42867,230528
4/30/24,5.2,5.5,5.1,5.4,98,249144,1326104.7
4/29/24,4.7,5.5,4.7,5.1,142,563444,2922247.6
4/26/24,4.7,4.8,4.5,4.8,56,182748,866142.1
4/25/24,4.7,4.7,4.5,4.7,32,53744,251304
4/24/24,4.5,4.7,4.5,4.7,77,255049,1158460.2
4/22/24,4.7,4.8,4.5,4.6,84,247510,1130741.3
4/19/24,4.8,4.8,4.7,4.7,13,32668,156467.7
4/18/24,4.9,5,4.6,4.8,73,199583,938640.2
4/17/24,4.7,4.9,4.6,4.9,64,207487,991950.2
4/16/24,4.8,5,4.6,4.6,109,387183,1853501.1
4/15/24,4.9,4.9,4.7,4.7,51,109936,528410.5
4/10/24,4.6,4.9,4.5,4.9,223,724798,3456553.7
4/9/24,4.6,4.6,4.5,4.5,72,199726,899353.1
4/8/24,4.9,4.9,4.4,4.5,231,613997,2802056.5
4/5/24,5.1,5.1,4.8,4.9,91,174143,856626.3
4/4/24,5.1,5.1,5,5.1,19,11456,57890.1
4/3/24,5.2,5.2,5,5.1,24,23229,118478.1
4/2/24,5,5.2,5,5,35,75297,380490.5
4/1/24,5.1,5.2,5,5.1,16,37096,189196.8
3/28/24,5.1,5.2,5,5,37,103983,521025.2
3/27/24,5.2,5.2,5,5.1,45,115412,584031.3
3/26/24,5,5.3,5,5.2,97,450980,2329579.1
3/25/24,5.2,5.3,5,5.1,79,33285,170230.1
3/22/24,5.3,5.3,5,5.2,28,23591,118746.4
3/21/24,5.4,5.4,5.2,5.2,20,24792,128930.4
3/20/24,5.2,5.3,5.2,5.2,17,2051,10677.4
3/19/24,5.4,5.4,5.2,5.3,33,6354,33110.5
3/18/24,5.5,5.6,5.3,5.3,30,16625,88983.5
3/15/24,5.6,5.6,5.3,5.4,14,7461,40650.7
3/14/24,5.6,5.6,5.2,5.5,39,19346,102504.2
3/13/24,5.5,5.8,5.3,5.4,58,62688,342172.4
3/12/24,5.6,5.9,5.5,5.6,80,155149,883215.7
3/11/24,5.3,5.6,5.1,5.5,56,93146,502446
3/7/24,5.1,5.3,4.9,5.2,67,132131,674300.8
3/6/24,5.1,5.1,4.9,5,21,19129,95619.1
3/5/24,5,5.1,4.7,5,37,15806,78030.8
3/4/24,4.8,5,4.8,5,24,39069,193123
3/1/24,4.8,4.9,4.7,4.7,14,3416,16306.8
2/29/24,4.9,5,4.6,4.7,103,194948,910130.2
2/28/24,4.9,5,4.9,4.9,22,5614,27519.9
2/27/24,5,5,4.9,5,4,441,2171.4
2/26/24,5,5,4.9,4.9,15,4841,23926
2/22/24,5,5.1,4.9,5,25,6296,31472.4
2/21/24,5,5.1,5,5,9,6166,30833.1
2/20/24,4.9,5.1,4.9,5,21,11587,57944.9
2/19/24,5,5,4.9,5,12,10049,49781.5
2/16/24,4.9,5,4.9,4.9,8,1040,5100
2/15/24,5,5,4.9,5,17,9420,46572.6
2/14/24,5.1,5.1,5,5,12,943,4717.2
2/13/24,5.1,5.1,4.9,4.9,6,876,4403.6
2/12/24,5.1,5.1,4.8,5,21,9490,47128.4
2/9/24,4.8,5.6,4.8,5.1,84,69888,365347.1
2/8/24,4.6,4.8,4.5,4.7,27,78185,366322.9
2/7/24,4.6,4.6,4.5,4.6,10,8502,38604.7
2/6/24,4.5,4.7,4.5,4.6,38,25107,115317.7
2/2/24,4.7,4.7,4.5,4.6,16,8416,38433.6
2/1/24,4.7,4.7,4.6,4.7,7,1415,6611.2
1/31/24,4.6,4.8,4.5,4.6,17,25254,117173.2
1/30/24,4.7,4.8,4.5,4.6,29,69670,319786.9
1/29/24,4.7,4.9,4.7,4.8,4,1406,6798
1/26/24,4.9,4.9,4.6,4.7,17,4275,20060.4
1/24/24,4.9,4.9,4.8,4.8,9,26212,127828.3
1/23/24,4.8,4.9,4.6,4.8,32,39541,189484.6
1/22/24,5,5,4.8,4.8,23,15176,74383.4
1/19/24,5.1,5.1,5,5,11,11216,56390
1/18/24,5.1,5.1,4.9,5.1,16,24456,123205.6
1/17/24,5.2,5.2,4.8,5.1,27,27484,137432.1
1/16/24,5.2,5.2,5,5,43,57756,289666.2
1/12/24,5.3,5.3,5,5.1,90,367030,1855768.2
1/11/24,5.5,5.6,5.2,5.2,105,86536,468067.3
1/10/24,6,6.1,5.4,5.4,324,411618,2292757.4
1/9/24,6.4,6.5,6.2,6.3,25,8134,51936.5
1/8/24,6.2,6.4,5.9,6.3,36,20698,130157.4
1/5/24,6,6.1,6,6,6,1360,8161.6
1/4/24,6,6.5,5.9,6.3,10,6741,39949.3
1/3/24,6,6,6,6,5,2177,13062
1/2/24,5.6,6.1,5.6,6,12,5456,31473
12/29/23,5.7,5.7,5.6,5.6,21,17526,98398.2
12/28/23,5.7,5.8,5.7,5.7,5,11288,64341.8
12/27/23,5.8,5.8,5.6,5.7,14,15876,90962.9
12/22/23,6,6,5.8,5.7,2,6,35
12/21/23,5.8,5.8,5.7,5.7,2,5500,31850
12/20/23,5.7,5.7,5.7,5.7,4,668,3807.6
12/19/23,5.7,5.7,5.7,5.7,8,11970,68229
12/18/23,6,6,5.6,5.7,11,1290,7503.4
12/15/23,6,6,6,6,1,215,1290
12/14/23,6.3,6.3,5.9,5.9,9,7700,45563.4
12/13/23,5.9,5.9,5.9,5.9,4,7994,47164.6
12/12/23,6.1,6.1,6,6,4,2101,12616.1
12/11/23,6.1,6.1,6,5.9,4,57,342.2
12/8/23,6,6.2,5.9,5.9,5,961,5726.2
12/7/23,5.9,6,5.8,6,23,54100,314350
12/6/23,6.3,6.4,5.9,5.9,18,12520,75814.2
12/5/23,6.3,6.3,6,6,2,200,1230
12/4/23,6.1,6.2,6.1,6.2,23,21536,131941.2
12/1/23,5.8,6.1,5.8,6,15,6477,38861.9
11/30/23,6.2,6.2,6.1,6.2,4,1011,6267.2
11/29/23,5.9,5.9,5.8,5.8,11,6186,36278
11/28/23,5.7,5.8,5.7,5.8,9,1354,7829.7
11/27/23,5.8,5.8,5.7,5.5,2,3,17.2
11/24/23,5.7,5.9,5.5,5.5,34,46339,255063
11/23/23,5.9,5.9,5.6,5.6,18,6663,37969.3
11/22/23,5.7,5.9,5.7,5.8,5,2462,14262.2
11/21/23,5.9,5.9,5.9,5.9,5,6880,40592
11/20/23,6,6,5.9,5.9,4,1514,8935.6
11/17/23,5.9,6.2,5.9,5.9,6,3349,19774.1
11/16/23,6.2,6.2,5.9,6.2,6,1901,11343
11/15/23,6.4,6.4,6.1,6.1,12,17243,105314.4
11/14/23,6.1,6.2,6,6.1,14,3290,20049.9
11/13/23,6,6.5,5.9,5.9,32,26701,158258
11/10/23,6.6,6.6,6,6.1,18,30697,186499.1
11/9/23,6.5,6.5,6.5,6.5,1,15,97.5
11/8/23,6.5,6.7,6.5,6.5,26,34472,224408
11/7/23,6.4,6.5,6,6.1,21,33996,212521.4
11/6/23,6.5,6.5,6,6,11,28142,168899.5
11/3/23,6.4,6.4,6,6,7,6553,39618
11/2/23,6.4,6.4,5.9,6,14,8494,51164
11/1/23,6.5,6.5,6,6.1,7,4571,28426
10/31/23,6.4,6.4,6.3,6.4,5,978,6231.4
10/30/23,6.5,6.5,6.5,6.3,5,51,331.5
10/27/23,6,6.3,6,6.3,11,1909,11831.4
10/26/23,6,6,5.4,5.6,23,27872,157278.2
10/24/23,6.3,6.3,5.9,5.9,79,104683,636975.6
10/23/23,6.9,6.9,6.3,6.3,6,2330,14823
10/20/23,6.5,6.7,6.3,6.6,16,5052,33401.5
10/19/23,6.1,6.4,6.1,6.3,13,11145,68717.7
10/18/23,6.3,6.3,6.2,6.2,18,16229,101861.7
10/17/23,6.6,6.6,6.4,6.4,9,8752,56202.6
10/16/23,6.5,6.5,6.4,6.4,11,1141,7342.4
10/13/23,6.5,6.9,6.4,6.5,16,14525,93947.5
10/12/23,6.6,6.9,6.3,6.6,8,2150,13897.5
10/11/23,6.9,6.9,6.3,6.4,24,23037,147013.3
10/10/23,6.5,6.8,6.5,6.5,23,27925,182552.5
10/9/23,6.7,6.9,6.3,6.9,25,21634,140390.8
10/6/23,6.9,6.9,6.9,6.9,2,183,1262.7
10/5/23,6.7,6.9,6.7,6.9,8,3897,26789.3
10/4/23,6.8,6.9,6.7,6.7,21,14956,101080.1
10/3/23,7,7,7,6.9,1,5,35
10/2/23,7,7,6.8,6.9,11,18271,124809.9
9/27/23,6.8,7.1,6.8,6.9,23,18875,130464.4
9/26/23,6.9,7,6.8,6.9,10,1838,12666.4
9/25/23,6.9,7.1,6.8,6.9,9,10750,74100
9/22/23,7.1,7.1,7.1,7.1,1,10,71
9/21/23,7.2,7.2,6.8,7.1,10,7837,54619.3
9/20/23,7,7.2,7,7.1,11,2748,19342.1
9/19/23,7.2,7.2,7,7,9,14482,101417.3
9/18/23,7.2,7.2,7,7,15,6600,46401.7
9/15/23,7.1,7.3,7,7.2,7,6422,45714.3
9/14/23,7.3,7.4,7.1,7.1,18,10250,73209.5
9/13/23,7.4,7.4,7.1,7.3,10,26012,190238.2
9/12/23,7.1,7.5,7.1,7.1,28,48675,345638.9
9/11/23,7.4,7.5,7.2,7.2,21,76263,559421.5
9/8/23,7.3,7.3,7.2,7.3,15,8055,58751.5
9/7/23,7,7.3,6.9,7.1,33,18148,127018.3
9/6/23,7.4,7.4,6.7,6.8,53,168834,1167484.2
9/5/23,7.5,7.5,7.1,7.2,43,23107,166477.4
9/4/23,7.5,7.6,7.2,7.4,14,5394,40273.3
9/1/23,7.3,7.7,7.2,7.2,46,100854,730574.6
8/31/23,7.4,7.8,7,7.5,161,473052,3558948.4
8/29/23,7.4,7.4,7.1,7.1,27,21862,159547.9
8/28/23,7.2,7.5,7.1,7.1,47,76654,564605.8
8/25/23,7.3,7.4,7,7.2,73,71224,521809.5
8/24/23,7.3,7.4,7,7.1,95,344689,2455191.2
8/23/23,6.9,7.4,6.9,7.3,101,148242,1060855.3
8/22/23,6.9,6.9,6.6,6.8,41,68639,466224.8
8/21/23,6.8,7,6.5,6.5,53,49289,327308.8
8/18/23,6.9,6.9,6.7,6.8,9,4430,30422
8/17/23,7,7,6.7,6.9,12,13276,89337.2
8/16/23,7,7,6.7,6.8,11,17511,118601.2
8/15/23,7,7,6.7,6.8,10,18204,123348.8
8/14/23,7.1,7.1,6.7,6.7,15,62923,427802.5
8/11/23,6.9,6.9,6.8,6.8,7,7141,48672.9
8/10/23,7.1,7.2,6.8,7.1,6,1069,7580.8
8/9/23,7.2,7.2,6.8,7.1,17,21418,148170.4
8/8/23,7,7.2,6.8,7,29,38532,268373
8/7/23,7.1,7.3,6.9,6.9,39,55896,393037.4
8/4/23,7.4,7.5,7.1,7.1,54,220517,1588472.1
8/3/23,7.1,7.7,7.1,7.5,118,289567,2168626.4
8/2/23,7,7.4,7,7.2,156,502006,3614206.2
7/31/23,7.1,7.1,6.9,6.9,29,10938,75482.1
7/28/23,6.9,7,6.8,7,41,72228,499082.2
7/27/23,7,7.1,6.7,7,40,96239,667573.1
7/26/23,7.1,7.1,6.8,6.8,19,15537,105665.9
7/25/23,7.2,7.3,6.8,7.1,70,289922,2069283.6
7/24/23,6.7,7.1,6.6,7,103,355833,2431394.5
7/21/23,6.5,6.8,6.5,6.6,38,30231,199648.6
7/20/23,6.8,6.8,6.5,6.7,39,70472,465114.5
7/19/23,6.7,6.8,6.5,6.7,32,56905,377596.7
7/18/23,6.8,6.8,6.5,6.5,38,42042,279449.5
7/17/23,6.7,6.8,6.6,6.7,36,13376,89541.8
7/14/23,6.8,6.8,6.5,6.7,45,138127,916630.6
7/13/23,6.8,6.8,6.7,6.7,74,187329,1268034.3
7/12/23,6.9,7,6.5,6.7,88,132002,894667.4
7/11/23,6.8,7,6.5,6.7,182,255232,1731093.6
7/10/23,6.3,6.7,6.1,6.5,99,485041,3155036.8
7/7/23,6.2,6.3,6.1,6.3,24,76962,475768.6
7/6/23,6.2,6.3,5.9,6.1,65,258824,1592231.1
7/5/23,6.1,6.1,5.9,6,17,68377,410211
7/4/23,6,6.2,5.8,5.9,26,30940,183130.2
6/28/23,6,6,5.6,5.8,10,4069,23635.9
6/27/23,5.9,5.9,5.6,5.7,9,17447,98439.8
6/26/23,5.9,5.9,5.9,5.8,1,50,295
6/23/23,5.9,6,5.7,5.8,11,5113,29477.6
6/22/23,6.2,6.3,5.7,6,5,3139,18924.5
6/21/23,5.9,6,5.7,5.8,8,10103,58599.2
6/20/23,5.7,6,5.7,5.9,6,5002,28912
6/19/23,6,6,5.8,5.8,8,1553,9109.4
6/16/23,6,6,5.7,5.9,7,2402,14271.6
6/15/23,5.7,6.1,5.7,6,14,11532,69394.6
6/14/23,5.6,6.1,5.6,5.9,16,12290,73364.6
6/13/23,5.7,6.1,5.7,5.9,20,50176,294244.3
6/12/23,5.7,5.9,5.5,5.9,24,24116,141722
6/9/23,5.8,5.9,5.8,5.9,5,315,1857
6/8/23,5.6,5.9,5.6,5.9,4,1210,7109
6/7/23,5.6,5.9,5.5,5.6,12,70507,395004.5
6/6/23,5.7,5.9,5.5,5.8,18,19110,107472.8
6/5/23,6,6,5.5,6,4,170,1015
6/2/23,5.8,5.9,5.5,5.8,14,4032,22843.8
6/1/23,5.9,5.9,5.5,5.6,11,5890,32905
5/31/23,5.6,6,5.5,5.9,27,18226,104166.9
5/30/23,5.4,5.4,5.4,5.4,8,21060,113724
5/29/23,5.5,5.7,5.5,5.5,4,10055,55307.5
5/26/23,5.8,5.8,5.4,5.5,21,12732,69914.6
5/25/23,5.7,5.8,5.5,5.6,9,1036,5794
5/24/23,5.4,5.7,5.4,5.6,9,405,2233.5
5/23/23,5.4,5.6,5.4,5.5,7,1874,10226.8
5/22/23,5.5,5.5,5.4,5.4,19,9286,50706.5
5/19/23,5.7,5.7,5.6,5.6,6,4303,24097.1
5/18/23,5.6,5.8,5.6,5.6,4,220,1239.7
5/17/23,5.8,5.8,5.5,5.6,7,10300,57679.8
5/16/23,5.6,5.8,5.6,5.6,5,580,3250.2
5/15/23,5.6,5.6,5.6,5.6,9,4040,22624
5/12/23,5.7,5.8,5.7,5.8,9,12393,71136.6
5/11/23,5.8,5.8,5.5,5.6,27,4410,24636.6
5/10/23,5.7,5.8,5.7,5.7,15,20099,114764.3
5/9/23,5.6,6,5.6,5.7,11,7252,41661.6
5/8/23,5.8,5.9,5.8,5.9,19,17929,105581.1
5/3/23,5.9,5.9,5.7,5.7,25,17597,101460.6
5/2/23,5.9,5.9,5.6,5.6,65,178952,1018599.7
4/28/23,6.1,6.2,5.9,6.2,24,48178,287513.6
4/27/23,6.1,6.2,6,6.1,19,84131,509686.2
4/26/23,6.4,6.4,6.2,6.2,25,15051,96240.6
4/25/23,6.2,6.4,6.1,6.1,20,9407,57975.9
4/24/23,6.2,6.3,6.2,6.3,13,13970,86991
4/21/23,6.2,6.5,6.2,6.2,6,4441,27556.5
4/20/23,6.4,6.6,6.4,6.4,25,1816,11709.4
4/19/23,6.6,6.6,6.2,6.2,22,73413,456481.6
4/18/23,6.5,6.5,6.5,6.5,10,2200,14300
4/17/23,6.7,6.7,6.3,6.3,21,24570,154982.6
4/12/23,6.5,6.6,6.3,6.5,26,60620,393398.3
4/11/23,6.6,6.6,6.4,6.5,10,14505,94244.6
4/10/23,6.3,6.5,6.3,6.3,6,2069,13034.9
4/6/23,6.5,6.6,6.5,6.5,8,3100,20160
4/4/23,6.5,6.5,6.5,6.5,10,5299,34443.5
4/3/23,6.4,6.5,6.4,6.4,6,751,4811.5
3/31/23,6.3,6.7,6.2,6.6,9,11445,72017.4
3/30/23,6.6,6.6,6.3,6.4,12,10304,65611.1
3/29/23,6.7,6.7,6.4,6.4,9,7900,51830
3/28/23,6.9,6.9,6.4,6.5,15,53934,349092.2
3/27/23,6.9,6.9,6.5,6.5,14,17947,116759.3
3/24/23,6.5,7.2,6.5,6.6,153,525010,3608909
3/23/23,6.4,6.5,6.4,6.5,9,880,5675
3/22/23,6.4,6.4,6.4,6.4,4,400,2560
3/21/23,6.6,6.6,6.3,6.4,24,6830,43884
3/20/23,6.5,6.6,6.5,6.5,25,14366,93379.1
3/17/23,6.2,6.5,6.2,6.3,8,1415,8853.3
3/16/23,6.5,6.5,6.3,6.3,6,1700,10770
3/15/23,6.3,6.6,6.1,6.1,32,132766,813842.3
3/14/23,6.2,6.2,6.1,6.2,25,105735,655556.9
3/13/23,6.3,6.3,6.2,6.2,4,16901,104886.3
3/10/23,6.3,6.3,6.1,6.2,14,28255,175147.1
3/9/23,6.4,6.4,6.3,6.3,14,14215,89786
3/8/23,6.6,6.7,6.4,6.5,20,19061,124603.1
3/7/23,6.9,6.9,6.5,6.5,30,118423,790938.5
3/3/23,6.6,6.8,6.6,6.7,39,73173,492084.3
3/2/23,6.4,6.9,6.4,6.6,80,334087,2239053.4
3/1/23,6.2,6.4,6.2,6.2,5,1701,10546.4
2/28/23,6.2,6.2,6,6.1,8,6190,37842
2/27/23,6.2,6.2,6,6,18,30509,185264.9
2/24/23,6.2,6.2,6,6.1,15,10366,63586.1
2/23/23,6,6.2,5.9,6,15,7276,43557
2/22/23,6.2,6.2,5.8,5.9,20,13880,82504.4
2/21/23,6.2,6.2,5.8,6,31,24185,143056.4
2/20/23,6,6.2,6,6,30,26617,159842.6
2/17/23,6,6.2,6,6.1,4,9402,57392.2
2/16/23,6.3,6.3,5.9,5.9,22,51641,305978.3
2/15/23,6,6,6,6,3,25060,150360
2/14/23,6.2,6.2,6,6,24,69601,424205.6
2/13/23,6.2,6.4,6.1,6.2,12,34099,208895.9
2/10/23,6.2,6.4,6.1,6.1,8,15310,93506.5
2/9/23,6.4,6.5,6.4,6.5,6,5167,33491.3
2/7/23,6.5,6.5,6,6.1,22,154585,942335
2/6/23,6.5,6.6,6.2,6.2,14,61137,381469
2/3/23,6.5,6.7,6.5,6.6,23,86830,573322.8
2/2/23,6.1,6.5,6.1,6.4,15,20512,126452.4
2/1/23,6.1,6.2,6,6.1,11,19662,119058.1
1/31/23,6.1,6.1,6.1,6.1,21,29320,178852
1/30/23,6.1,6.2,6.1,6.2,13,51515,314266.7
1/27/23,6.4,6.4,6.1,6.2,11,12400,76410
1/26/23,6.5,6.5,6.5,6.5,1,8708,56602
1/25/23,6.5,6.5,6.2,6.3,20,35726,224186.8
1/24/23,6.5,6.5,6.4,6.4,16,23618,152700.3
1/23/23,6.5,6.6,6.3,6.5,20,8920,57313.2
1/20/23,6.4,6.5,6.2,6.5,22,8943,56563.7
1/19/23,6.6,6.6,6.2,6.2,36,45224,282762.8
1/18/23,6.1,6.6,6.1,6.2,20,24672,153724.9
1/17/23,6.2,6.2,5.9,6,18,5960,35846
1/13/23,6,6.2,6,6.1,11,28014,169835.9
1/12/23,6,6.3,6,6.1,19,9442,58568.9
1/11/23,6,6.5,6,6.2,31,24951,153415.1
1/10/23,6.3,6.3,6.1,6.2,6,5207,32164.1
1/9/23,6.4,6.4,6,6,35,61414,368881.1
1/5/23,6.4,6.4,6,6.2,14,11203,67458.7
1/4/23,6.3,6.5,6,6.1,24,13315,80782.9
1/3/23,6.4,6.6,6,6.4,23,13276,83872.5
1/2/23,6.3,6.4,6.1,6.1,31,20302,124827.7
12/30/22,6,6.4,6,6,42,68840,414393.6
12/29/22,6.3,6.4,6,6.4,30,3432,21154.8
12/28/22,6,6.5,5.9,6,30,28286,170620
12/27/22,6.5,6.5,6,6.4,13,2470,15705
12/23/22,6.5,6.6,5,6.2,52,107929,636860.3
12/22/22,6.3,6.3,6.2,6.2,7,4364,27185.8
12/21/22,6.3,6.3,6.2,6.3,8,4400,27630
12/20/22,6.6,6.6,6.5,6.5,3,1005,6533
12/19/22,6.6,6.6,6.3,6.3,27,22270,141331
12/16/22,6.4,6.5,6.4,6.4,13,10390,66746
12/15/22,6.8,7,6.6,6.6,37,40042,273426.7
12/14/22,6.8,7.1,6.5,6.7,47,61228,421521.9
12/13/22,6.8,6.8,6.5,6.6,14,5419,36304.2
12/12/22,6.6,6.8,6.3,6.6,24,12767,84924
12/9/22,6.9,6.9,6.6,6.6,12,2192,14590
12/8/22,6.9,6.9,6.7,6.7,16,9496,64110.8
12/6/22,7,7,6.7,6.8,28,126911,857091.5
12/5/22,6.6,6.9,6.5,6.8,25,38462,253570.7
12/2/22,6.8,6.8,6.6,6.7,15,11619,78768.3
