Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,7.4,7.6,7.2,7.5,39,135069,995412.8
7/4/24,7.7,7.7,7.4,7.5,53,532101,4006490.3
7/3/24,7.8,7.8,7.6,7.6,61,218832,1673118.3
7/2/24,7.8,7.9,7.6,7.8,30,151921,1178208.3
7/1/24,7.8,7.9,7.7,7.8,68,330011,2554363.1
6/28/24,8,8,7.8,8,60,457201,3639242.1
6/27/24,8,8.1,7.8,7.9,64,746619,5873136.3
6/26/24,8.2,8.2,7.9,8,56,425563,3409144.3
6/25/24,8.1,8.2,8.1,8.1,16,64200,520043.7
6/24/24,8.3,8.3,8,8.1,57,396454,3209401.5
6/20/24,8,8.3,8,8.2,43,493298,4016366.6
6/19/24,8,8.1,7.9,8,77,544893,4354716.9
6/18/24,8,8.1,7.9,7.9,33,160205,1275341.5
6/14/24,8.1,8.1,8,8,67,334386,2680966.7
6/13/24,8,8.1,7.8,8,107,635719,5089032.1
6/12/24,7.9,8,7.7,7.9,80,801862,6273180.2
6/11/24,7.8,7.9,7.7,7.8,84,271512,2101053
6/11/24,7.8,7.9,7.7,7.8,84,271512,2101053
6/10/24,7.9,7.9,7.7,7.8,66,544018,4266506
6/7/24,7.9,7.9,7.7,7.8,50,320433,2519452.8
6/6/24,7.7,7.9,7.7,7.9,83,1136074,8949042.2
6/5/24,7.9,8,7.8,7.8,65,519169,4075724.9
6/4/24,7.7,7.9,7.6,7.9,77,588919,4583053.7
6/3/24,7.8,7.9,7.6,7.6,96,438268,3384270.4
5/31/24,7.9,7.9,7.7,7.7,16,49179,381354.1
5/30/24,7.6,7.9,7.6,7.8,33,129455,1007330.3
5/29/24,7.7,7.8,7.5,7.6,103,635972,4856618.2
5/28/24,8,8,7.6,7.7,71,477040,3708224.1
5/27/24,8,8.2,7.9,7.9,42,271287,2162485.5
5/22/24,8,8.1,7.7,8,80,420014,3349044
5/21/24,7.9,7.9,7.6,7.8,106,1036111,8017978.1
5/20/24,8.2,8.2,7.7,7.8,94,527963,4117864.6
5/17/24,8,8.3,7.9,8.1,84,606061,4883246.8
5/16/24,8,8.3,7.9,8,122,394490,3183580.5
5/15/24,8.4,8.4,7.9,8,136,1045466,8404620.9
5/14/24,8.5,8.5,8,8.3,170,1697057,14038650.1
5/13/24,8.5,8.7,8.4,8.5,83,393946,3341771.5
5/10/24,8.4,8.7,8.4,8.6,175,1391793,11887737.6
5/9/24,8.3,8.5,8,8.4,183,2150252,17814533.1
5/8/24,8.6,8.7,8.3,8.3,132,651994,5502667.2
5/7/24,8.4,8.7,8.2,8.6,285,2299351,19449539.8
5/6/24,8.3,8.5,8.1,8.2,364,2990871,24875483.1
5/3/24,7.6,8.5,7.5,8.3,869,16430572,133203746.6
5/2/24,7.5,7.7,7.4,7.5,220,2747837,20646905.4
4/30/24,7.2,7.7,7.2,7.4,460,6052361,45576588.5
4/29/24,6.7,7.4,6.6,7.2,329,4135327,28954296.2
4/26/24,6.5,6.8,6.4,6.7,138,2273389,15154109.9
4/25/24,6.5,6.5,6.4,6.4,50,198599,1271431
4/24/24,6.4,6.4,6.2,6.4,65,708091,4464040.3
4/22/24,6.1,6.4,6.1,6.3,58,839125,5268695.9
4/19/24,6.2,6.3,6.1,6.1,53,429366,2645035.2
4/18/24,6.4,6.4,6.2,6.2,29,171012,1073280.6
4/17/24,6.3,6.4,6.3,6.4,50,357459,2274457.8
4/16/24,6.6,6.6,6.2,6.3,91,827580,5246447.8
4/15/24,6.5,6.6,6.4,6.5,27,145053,937275.5
4/10/24,6.6,6.7,6.6,6.6,49,407109,2686929.5
4/9/24,6.1,6.7,6.1,6.5,118,1798568,11630485.3
4/8/24,6.1,6.4,6.1,6.1,40,489922,3072549.7
4/5/24,6.2,6.3,6.1,6.1,6,1976,12077.7
4/4/24,6.3,6.3,6.1,6.2,38,328956,2014999
4/3/24,6.3,6.4,6.1,6.2,56,223235,1390261.8
4/2/24,6.4,6.4,6.3,6.3,34,395201,2489809.1
4/1/24,6.3,6.4,6.2,6.2,31,171711,1082408.2
3/28/24,6.4,6.4,6.2,6.3,53,967424,6091699.3
3/27/24,6.3,6.4,6.2,6.3,40,316456,1991173.5
3/26/24,6.3,6.3,6.1,6.2,26,168928,1045621.2
3/25/24,6.2,6.3,6.1,6.2,34,227487,1402398.4
3/22/24,6.2,6.3,6,6.2,57,881230,5368799.8
3/21/24,6.1,6.3,6,6.1,68,402529,2454896.9
3/20/24,6.4,6.4,6.1,6.2,39,204734,1260608.1
3/19/24,6.3,6.4,6.2,6.2,22,53974,339008.6
3/18/24,6.5,6.5,6.2,6.4,53,234017,1492117
3/15/24,6.5,6.6,6.2,6.5,91,864820,5577991
3/14/24,6,6.7,6,6.5,264,2287189,14746783.2
3/13/24,6,6.2,6,6.1,56,165224,1005841
3/12/24,6.1,6.1,6,6,52,316367,1908086.8
3/11/24,5.9,6.2,5.8,6,101,551419,3328945.9
3/7/24,5.6,6.2,5.6,6,316,2429397,14504104.9
3/6/24,5.6,5.6,5.4,5.5,52,1264431,6968328.9
3/5/24,5.5,5.6,5.3,5.5,65,807561,4383963.5
3/4/24,5.3,5.4,5.2,5.3,61,483519,2561261.9
3/1/24,5.3,5.3,5.1,5.2,28,346100,1769755.4
2/29/24,5.3,5.3,5.2,5.2,16,25005,130176.5
2/28/24,5.2,5.3,5.2,5.2,23,104506,543502.7
2/27/24,5.1,5.2,5,5.1,36,372320,1899235.5
2/26/24,5.2,5.3,5.1,5.1,13,17223,89455.4
2/22/24,5.1,5.5,5.1,5.4,57,1038686,5624227.2
2/21/24,5.2,5.3,5.1,5.2,42,264967,1362962.9
2/20/24,5.2,5.2,5.1,5.1,41,310859,1595535.9
2/19/24,5.1,5.2,5,5.1,16,124781,635004.1
2/16/24,5.1,5.2,5,5.1,20,17791,90275.6
2/15/24,5,5.2,5,5,18,81446,410560.1
2/14/24,5.1,5.2,5,5.1,80,667352,3341130.5
2/13/24,5.1,5.1,4.9,5,32,102353,511946.5
2/12/24,5.1,5.2,4.9,5,84,416956,2085197.3
2/9/24,5.2,5.2,5,5.1,24,129837,661628.9
2/8/24,5.1,5.3,5.1,5.1,11,38914,201603.6
2/7/24,5.2,5.2,5,5.2,34,288081,1477219.6
