Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,78.9,79.2,78,78.2,137,69803,5454945.4
7/4/24,79.9,79.9,77.9,78,240,4606633,363721711.7
7/3/24,79.1,79.9,78.8,79,132,3357278,268301515.3
7/2/24,77.8,79.2,77.8,79,197,5531616,434733747
7/1/24,78.5,79,77.6,77.6,211,233133,18138002.5
6/28/24,78.8,78.8,77.9,78.3,350,13832449,1079126890
6/27/24,79.9,79.9,78,78.9,245,908325,70941852.3
6/26/24,79.8,79.9,78.8,79.4,225,428049,33948476.8
6/25/24,79.5,79.7,79.1,79.4,126,456776,36311332.3
6/24/24,79.7,80,79.2,79.7,219,503956,40274883.2
6/20/24,79.5,79.7,79.1,79.5,129,115933,9203781.9
6/19/24,79.8,79.8,79,79,188,167967,13299048
6/18/24,80.1,80.1,79.1,79.7,186,193671,15471438.5
6/14/24,80.5,80.5,79.6,80.1,138,199417,15955350.3
6/13/24,82,82.4,79.9,80,342,543336,43950126.4
6/12/24,80.5,80.9,80.4,80.8,194,438171,35344365.1
6/11/24,80.8,81,80.6,80.7,376,2107061,170199039
6/11/24,80.8,81,80.6,80.7,376,2107061,170199039
6/10/24,80.5,81.1,80.1,80.9,341,743703,60171497.2
6/7/24,80,80.6,79.8,80.1,336,2148846,171899767.5
6/6/24,78.5,81,78.5,80,293,1078822,86016242.5
6/5/24,78,78.6,77.6,78.3,141,343475,26845737.4
6/4/24,78,78.2,77,78,161,223303,17296014.6
6/3/24,78.4,78.4,77,77.8,146,212632,16491309.2
5/31/24,78.7,78.9,78.1,78.4,123,94036,7381774.6
5/30/24,78,78.8,77.2,78.6,200,3432691,264738561.9
5/29/24,77.8,78,77,77.5,276,2693671,207508808.1
5/28/24,78.2,78.9,77.5,77.8,298,2575040,200055463.6
5/27/24,78,78.9,78,78.2,158,147689,11531090.7
5/22/24,78,78.5,77.8,78.1,145,506870,39549279.4
5/21/24,78.9,78.9,77.5,77.8,208,680861,52804899
5/20/24,77.8,78.1,77.5,78,217,1230291,95944509.1
5/17/24,77.5,78,77.3,77.9,148,185483,14429410.1
5/16/24,78.1,79,77,77.4,332,247867,19283498.1
5/15/24,79.7,79.8,77.7,78.1,446,695847,54852323.5
5/14/24,80,80,78.8,79.1,399,1868594,148420065.3
5/13/24,80,80,79.8,79.9,254,404515,32325327.4
5/10/24,80,81,79.5,80.1,412,1190642,95527974.2
5/9/24,78.6,80.2,78.4,80,282,780046,62134840.1
5/8/24,79.3,79.5,78.5,78.7,246,1118351,87485283.2
5/7/24,79.6,80,78.8,79,437,551570,43730075.9
5/6/24,80.5,80.6,79.5,79.9,306,321234,25758967.3
5/3/24,80.6,81,80.1,80.5,199,249620,20097004.1
5/2/24,81,81.5,80.2,80.6,242,285101,23047375
4/30/24,82.1,82.3,80.5,81.4,269,332003,27090583
4/29/24,80,82.7,79.4,82.1,585,2690746,219462570.8
4/26/24,80.2,81,79.6,80,507,1570753,125777271.3
4/25/24,77,80.4,77,80,436,708709,56129929.6
