Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,10.1,10.1,10,10,22,220759,2207800
7/4/24,10.1,10.2,10.1,10.2,13,52217,527463.5
7/3/24,10.3,10.3,10.2,10.2,9,5473,56329.9
7/2/24,10,10.2,9.9,10.1,23,91320,917396
7/1/24,10.2,10.3,10,10.2,19,4431,45067.4
6/28/24,10,10.1,10,10.1,8,1947,19604.5
6/27/24,10.4,10.4,10,10.1,32,115660,1167173.1
6/26/24,10.3,10.4,10.1,10.1,20,63934,646511.4
6/25/24,10.2,10.4,10.1,10.1,65,462227,4674331.6
6/24/24,10.3,10.5,10.2,10.2,37,29363,300323.9
6/20/24,10.2,10.5,10.2,10.3,15,21055,217629
6/19/24,10.2,10.6,10.1,10.4,23,23647,243002.6
6/18/24,10.6,10.6,10.2,10.2,24,92817,951049.4
6/14/24,10.5,10.5,10.1,10.3,33,38105,387463
6/13/24,10.6,10.6,10.3,10.3,32,661127,6880647
6/12/24,10.3,10.7,10.3,10.6,13,55232,573709.9
6/11/24,10.8,10.8,10.4,10.4,44,40795,426116.1
6/11/24,10.8,10.8,10.4,10.4,44,40795,426116.1
6/10/24,10.4,10.9,10.4,10.5,40,80868,851234.6
6/7/24,10.7,10.7,10.3,10.6,56,148653,1555648.7
6/6/24,10.5,10.7,10.3,10.5,87,195011,2047428
6/5/24,10.7,10.7,10.4,10.6,18,20120,212290.2
6/4/24,10.4,10.7,10.4,10.5,37,62902,659530.8
6/3/24,10.6,10.7,10.4,10.5,45,71320,747507.5
5/31/24,10.7,10.8,10.6,10.8,31,62688,669368.2
5/30/24,10.7,10.8,10.5,10.7,11,6080,64658.2
5/29/24,10.8,10.8,10.5,10.6,20,16229,171162.4
5/28/24,10.7,10.8,10.5,10.8,28,57622,610541.2
5/27/24,10.6,11,10.6,10.8,15,17431,188586.9
5/22/24,10.6,11.1,10.6,11,16,7444,81554.8
5/21/24,11,11,10.6,10.7,23,12548,134949.4
5/20/24,10.9,11,10.7,10.8,22,76224,822691.2
5/17/24,10.8,11.1,10.8,10.9,25,31778,346679.4
5/16/24,11.2,11.2,10.8,10.8,12,670,7294.7
5/15/24,10.9,11.2,10.9,11,28,50928,556023.6
5/14/24,11.1,11.1,10.3,10.8,72,179832,1906325.8
5/13/24,11.3,11.3,11,11.1,22,29762,332569.3
5/10/24,11.1,11.3,10.9,10.9,62,439000,4824342.3
5/9/24,11.5,11.5,11,11.1,23,16281,180697.6
5/8/24,11.2,11.4,11.1,11.2,120,680945,7607740.9
5/7/24,11.1,11.4,11.1,11.1,18,50362,563858.7
5/6/24,11.2,11.3,11.1,11.2,40,273058,3054879.6
5/3/24,11.2,11.4,11.2,11.4,8,11532,129179.4
5/2/24,11.3,11.4,11.3,11.3,16,41817,473611.8
4/30/24,11.4,11.8,11.3,11.5,55,288824,3341165.2
4/29/24,11.5,11.5,11.2,11.3,37,127142,1450085.3
4/26/24,11.4,11.6,11.3,11.4,35,221983,2523139.9
4/25/24,11.2,11.6,11.2,11.4,141,892307,10096972.6
4/24/24,11.1,11.3,11.1,11.1,28,47048,523573.4
4/22/24,11.2,11.3,11.2,11.3,23,48081,541346.9
4/19/24,11,11.3,11,11.3,18,25166,282307
4/18/24,11,11.4,11,11.3,30,74758,830196.9
4/17/24,10.9,11.4,10.9,11.2,92,518778,5734841
4/16/24,11.2,11.2,10.7,10.9,60,421973,4577883.3
4/15/24,11.2,11.2,10.9,11,26,42429,467673.8
4/10/24,11,11.2,11,11.1,47,182267,2020028.8
4/9/24,10.9,11.1,10.8,10.9,76,279257,3046393.3
4/8/24,11.2,11.2,10.8,10.9,46,161561,1760489.7
4/5/24,11.3,11.3,11,11,15,16611,183043.7
4/4/24,11.2,11.3,11.1,11.1,34,36876,414056
4/3/24,11.3,11.3,11,11.3,21,158050,1742075.9
4/2/24,11.2,11.3,11,11.1,36,401889,4478636.7
4/1/24,10.9,11.2,10.9,11,51,40680,446006
3/28/24,10.5,10.9,10.5,10.8,31,163687,1758135.4
3/27/24,10.7,10.9,10.5,10.5,19,39763,419795.3
3/26/24,10.6,10.7,10.4,10.5,24,41348,434601
3/25/24,11,11,10.5,10.5,50,525734,5522363.9
3/22/24,10.9,11,10.9,10.9,12,51000,557100
3/21/24,10.8,11,10.8,10.8,10,10582,114595.4
3/20/24,11,11.5,10.9,10.9,33,14868,162689.7
3/19/24,11.2,11.5,10.9,11,32,25123,276964.5
3/18/24,11.5,11.5,11.2,11.2,17,14413,163040.9
3/15/24,11.5,11.5,11.1,11.4,10,55139,614199
3/14/24,11.8,11.8,11.2,11.3,28,83325,944433.5
3/13/24,11.5,11.9,11.4,11.5,51,59068,684654.6
3/12/24,11.2,11.6,11.2,11.4,58,241805,2728639
3/11/24,11.4,11.4,11.1,11.2,36,43540,489779
3/7/24,10.8,11.4,10.8,11.3,84,254912,2873440.3
3/6/24,11.1,11.1,10.8,11,13,43074,472804
3/5/24,10.9,11.1,10.6,11,41,114907,1262792.4
3/4/24,11,11,10.6,10.9,11,17831,190863.7
3/1/24,10.6,11,10.6,10.8,19,44946,476991.6
2/29/24,11,11,10.7,11,8,3450,37797
2/28/24,10.6,11,10.6,11,26,30934,332192.4
2/27/24,10.7,10.7,10.7,10.7,1,300,3210
2/26/24,11,11,10.7,10.8,16,27795,299738.2
2/22/24,11.1,11.1,11,11,14,10973,120733
2/21/24,11.1,11.1,10.8,11,27,69941,769345.9
2/20/24,10.8,11.1,10.8,10.9,13,7451,80877
2/19/24,11,11.1,11,11,6,13504,148594.4
2/16/24,11.1,11.1,10.8,11,4,2534,27509.3
2/15/24,11,11,10.9,10.9,14,29835,325701.5
2/14/24,11,11,10.9,11,10,32713,359743
2/13/24,11.1,11.2,11.1,11.2,20,64302,714835.1
2/12/24,11,11.1,10.8,11,12,6767,74027.1
2/9/24,11,11.1,10.8,10.8,9,19840,214316.2
