Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,381,429,381,429,5,103,44115
7/4/24,400,400,375.5,449,4,70,26538.5
7/3/24,449.75,449.75,449.75,449,1,2,899.5
7/2/24,450,450,450,449,1,1,450
7/1/24,450,450,448,449,2,2,898
6/28/24,449,449,449,449,7,151,67799
6/27/24,453,453,450,410,2,6,2703
6/26/24,455,455,455,410,1,2,910
6/25/24,410,460,410,410,4,97,44477.25
6/11/24,410,410,410,410,2,30,12300
6/11/24,410,410,410,410,2,30,12300
6/10/24,376,376,376,410,1,2,752
5/31/24,395,410,395,410,2,10,3995
5/14/24,399.75,399.75,399.75,410,5,37,14790.75
5/9/24,399.75,399.75,399.75,410,3,45,17988.75
5/7/24,400,400,400,410,1,3,1200
4/26/24,410,410,410,410,10,550,225500
4/25/24,395,395,395,407.5,1,2,790
4/16/24,392.25,399.75,392.25,407.5,2,26,10206
4/15/24,395,399.75,391,407.5,4,14,5486.75
4/8/24,397,397,397,407.5,1,3,1191
4/4/24,390,390,390,407.5,1,1,390
4/3/24,390,402,390,407.5,5,23,9174
4/2/24,405,425,405,407.5,5,227,92508.75
4/1/24,400,400,400,398.75,1,20,8000
3/27/24,398.75,398.75,398.75,398.75,2,100,39875
3/20/24,383.75,383.75,383.75,383.75,4,100,38375
3/19/24,419.75,419.75,419.75,420,1,47,19728.25
3/18/24,427,427,409.75,420,4,129,54166.5
3/15/24,409.75,419.5,409.75,379.75,7,89,37078
3/14/24,410,410,400,379.75,2,4,1620
3/5/24,420.75,423,420.75,379.75,8,27,11384.75
3/4/24,397.75,397.75,375,379.75,6,31,11982
2/19/24,382,382,382,379.75,1,8,3056
2/9/24,376.25,399,376.25,379.75,5,32,12692.75
1/30/24,379.5,379.5,379.5,379.75,3,25,9487.5
1/18/24,376,434.75,375.25,379.75,4,26,9818
1/16/24,395.5,395.5,395.5,379.75,3,69,27289.5
1/11/24,397.75,397.75,375,379.75,10,297,112763
