Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,81.6,84,81.6,82.5,44,31120,2566545
7/4/24,81.8,83.5,81.5,82.5,63,19957,1634107.8
7/3/24,82,83.9,81.6,82.1,102,23138,1898151
7/2/24,82.8,84,82.5,83.4,39,3160,262778.1
7/1/24,83.1,83.1,82.5,82.8,51,10039,828855.1
6/28/24,83.1,83.1,82.3,82.5,61,13429,1111219.4
6/27/24,84.8,84.8,83,83.1,95,39105,3269071.8
6/26/24,83.6,85.5,83.5,84.6,38,29605,2514555.5
6/25/24,85,85,83.7,83.9,62,10155,854382.9
6/24/24,86,86,84.2,84.4,39,3671,310018.5
6/20/24,84.5,86.5,83.9,84.4,105,46059,3903396.6
6/19/24,85,85.1,84.5,85,38,43555,3702503
6/18/24,86.5,86.5,85,85.2,41,37443,3195923.2
6/14/24,84.5,86,84.5,86,29,20033,1710096.3
6/13/24,84.9,85,83.9,84.9,123,39490,3333462.5
6/12/24,85.9,86,84.8,84.9,104,32936,2803694.2
6/11/24,86,86.9,86,86,54,8162,702366.1
6/11/24,86,86.9,86,86,54,8162,702366.1
6/10/24,85.6,87.5,85.6,86.2,65,20580,1778303.9
6/7/24,85.5,86.7,85.5,86.5,34,5529,476779.8
6/6/24,87,87,85.6,85.9,39,8539,733885.3
6/5/24,86,86.9,85.5,86,35,4381,375697.5
6/4/24,85,86,85,85.5,33,2325,198589.9
6/3/24,86.9,86.9,85,85,91,28361,2418464.4
5/31/24,85.8,86.8,85,85.9,99,40825,3490094.1
5/30/24,86.5,86.5,85.2,86.5,52,4029,345547.3
5/29/24,87,87,86,86.2,55,7815,675134
5/28/24,88.9,88.9,87,87,45,13431,1171385.1
5/27/24,90,90,87.2,88,44,17426,1535522.2
5/22/24,86.3,90.8,86.3,88.2,153,100608,9037761.8
5/21/24,86.5,86.9,85,86.2,44,61861,5311084.9
5/20/24,86,86.5,85.9,86,58,18615,1603501
5/17/24,86.2,87.9,85.7,86.5,44,16612,1434505.8
5/16/24,85.3,86.1,85.3,85.7,60,63197,5412144.1
5/15/24,85.8,87,85,85.3,167,44357,3796125.7
5/14/24,88,88,85.5,85.7,194,65464,5637174.8
5/13/24,88,88.5,86.8,87,229,78570,6861802.3
5/10/24,89.5,89.5,87.8,88.9,52,14721,1307540.5
5/9/24,88.2,89.5,87.5,89.1,109,28150,2475628.1
5/8/24,88.5,88.5,87.8,88,101,29635,2608351.6
5/7/24,88.8,88.8,87.6,88.1,138,86485,7612440.5
5/6/24,89.1,89.1,88,88.1,119,46159,4069685.7
5/3/24,89,89.3,88.6,88.7,35,14861,1318565.3
5/2/24,89.3,89.3,88.1,88.7,72,23027,2033055.1
4/30/24,89.9,89.9,88.2,88.5,70,34240,3039870.1
4/29/24,88.7,89.9,88.1,89.1,124,43804,3887084.6
4/26/24,89,89.9,88.4,88.7,117,95509,8456736.4
4/25/24,90.5,90.5,88.5,88.8,52,50631,4506012.3
4/24/24,90,90,88.3,88.8,100,52114,4659776.1
4/22/24,90.4,90.5,88.5,88.8,83,36747,3268346.2
4/19/24,89,90.3,88,89.9,114,46927,4188852.8
4/18/24,88.5,89.4,88,88.2,80,27409,2416145.1
4/17/24,90,90,88.2,88.4,84,33411,2956996.9
4/16/24,90.8,90.8,88.5,89.2,62,19264,1713459.7
4/15/24,90,91,89.6,90,55,19658,1769659.8
4/10/24,88.1,91.9,88.1,90,61,16644,1493367.2
4/9/24,87.5,88.9,87.5,88.3,113,39557,3482017.7
4/8/24,89,89,87.3,87.6,206,164690,14453140.2
4/5/24,89,89,87.3,87.8,287,178139,15691322.4
4/4/24,90,90,88.5,88.6,313,112364,9970041.8
4/3/24,90.6,91,89.5,89.6,194,66286,5951545.4
4/2/24,91.5,92,90.6,90.9,54,18983,1728174.2
4/1/24,90,91.2,90,91,65,55991,5053325.6
3/28/24,89.5,92.1,88.5,90,85,115071,10356032.3
3/27/24,91,91,88.1,88.7,264,150029,13392746.4
3/26/24,93.2,93.2,89.5,89.7,304,145951,13160522.9
3/25/24,91.5,92.9,91,92.4,89,39668,3646353.5
3/22/24,91.5,92.9,91,92.6,27,7324,674150.7
3/21/24,93.6,93.6,91.3,92,29,7378,678376.1
3/20/24,92.5,93,90.6,91,94,31482,2865836
3/19/24,92.2,93.2,91,92.5,95,20440,1869871
3/18/24,92,93,91.2,91.4,42,10782,992193.4
3/15/24,92.1,93,91,91.1,50,17007,1553728.5
3/14/24,91,93.4,90.6,91.7,34,12470,1137524.1
3/13/24,92,94,90.5,90.6,209,174194,15844339.1
3/12/24,95,95,91.1,91.6,176,167035,15321639.3
3/11/24,91.9,95.2,90.4,94.1,290,231322,21289672
3/7/24,93,93.4,91,91.2,172,147174,13418471.5
3/6/24,93.5,93.5,91,91.2,113,50143,4580076.6
3/5/24,92,93.7,90,92.1,249,279407,25274778
3/4/24,92.4,94,90,90.6,289,210155,19154063.4
3/1/24,93.9,94,92.4,92.4,93,24809,2299428.4
2/29/24,94,94.4,93,93.4,44,21962,2053100.5
2/28/24,98,98,92.2,93.7,127,110145,10277989.9
2/27/24,97,98,97,97.9,72,56273,5500543.4
2/26/24,95.5,98.5,95.5,97.9,171,143791,14071091.6
2/22/24,96.3,96.9,95.8,96.6,85,51805,4976425.3
2/21/24,96.5,96.5,94.3,94.6,61,42349,4013105.4
2/20/24,96,96,94.5,95,35,65557,6222783.2
2/19/24,96.9,96.9,94,94.7,92,106536,10056412
2/16/24,94.1,96.9,93,95.1,106,54827,5192993.9
2/15/24,93.6,94.9,93.5,94.9,61,13705,1288873.1
2/14/24,93.5,93.9,93.5,93.7,23,3089,289066.1
2/13/24,92.2,94.8,92.2,93.5,16,6648,623321.1
2/12/24,94,94.3,92.1,92.5,77,19833,1845251.2
2/9/24,93.5,94.9,92.5,93.1,109,24726,2299196.4
2/8/24,98,98,93,93.1,173,90521,8494660.4
2/7/24,97.5,97.5,95,95,176,94184,8983782.2
2/6/24,99,99,96.9,97,160,54856,5367044.2
2/2/24,99.9,99.9,99,99.6,159,39061,3888619.2
2/1/24,98.7,101,98.5,99.4,482,312649,31177287.4
1/31/24,94,99,94,98.2,570,249187,24193887.6
1/30/24,93.5,94.9,93.5,93.9,30,8264,775770.8
1/29/24,93.4,95,93.4,94,84,23512,2215804.3
1/26/24,90.2,94.8,90.1,93.4,139,92348,8574164.9
1/24/24,91,91.9,90.7,90.9,60,30505,2779826.3
1/23/24,92,93.3,90.1,90.9,43,14641,1332396.9
1/22/24,91.4,93.4,90.7,91.7,54,31684,2896318.9
1/19/24,90.5,91.2,90.4,91.1,40,13485,1227164.5
1/18/24,92.6,92.6,90.9,91,70,30865,2826684.7
1/17/24,93,94,92,92.2,101,97408,9061248.5
1/16/24,93,97.6,92,92.4,487,289020,27230096.9
1/12/24,91,91,88,88.3,84,29937,2670702.6
1/11/24,91.3,91.3,89,90,92,49924,4488223
1/10/24,92,92,89.6,90.2,76,19569,1770436
1/9/24,92,92.9,92,92,16,8820,811448.8
1/8/24,92.5,93,90.9,92.9,27,10015,917432.4
1/5/24,91.5,93.4,91,93,68,43331,4006343
1/4/24,93.9,93.9,91,92,82,47918,4406651.4
1/3/24,92.2,93.9,92.2,93,48,52709,4900426.6
1/2/24,93,93,91.1,91.4,56,11067,1017077.8
12/29/23,92,94,91.4,92.9,32,10297,954048.3
12/28/23,93.8,94.8,91,91.5,80,68818,6416283.9
12/27/23,91.7,94.4,91.1,91.7,62,36685,3369040.5
12/22/23,94.4,94.4,91.7,92.2,70,41593,3845769.6
12/21/23,94.2,94.8,92.4,92.8,97,62896,5904450.4
12/20/23,93,94.5,93,93.4,49,20922,1956916.8
12/19/23,92.7,93.9,92.2,92.8,115,68364,6335863.9
12/18/23,94.9,94.9,92.6,93,54,30728,2886997.6
12/15/23,95,96.4,93,93.8,177,119692,11267289.5
