Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,51,51.5,50.6,51.3,49,48917,2493684.8
7/4/24,50.4,51,50,50,109,63655,3189534.9
7/3/24,50.7,51.8,50.5,50.7,34,13989,709770.7
7/2/24,50.7,52,50.7,50.8,34,14078,717869.8
7/1/24,52,52.3,50.7,50.9,97,75038,3886344.9
6/28/24,52.5,52.9,52.5,52.6,42,41036,2157560.4
6/27/24,53.4,53.4,52.3,52.6,67,39712,2091059.9
6/26/24,53.5,53.5,53,53,18,3047,161628
6/25/24,53.4,53.5,53,53,18,20896,1109753.4
6/24/24,53.5,53.5,52,53,49,43062,2263108.2
6/20/24,52.8,53.7,52.8,53,55,47969,2541584.4
6/19/24,53,53.1,52.5,53,78,114295,6028962.4
6/18/24,53.6,53.6,53,53.1,32,3072,163641.6
6/14/24,53.4,53.9,52.5,52.9,39,18576,985580.6
6/13/24,54,54.4,53.5,53.5,49,66726,3591837.3
6/12/24,53.9,54,53.5,54,98,129006,6964054.5
6/11/24,53.2,54.3,53.1,54,123,191925,10338350.5
6/11/24,53.2,54.3,53.1,54,123,191925,10338350.5
6/10/24,53.2,53.2,52.6,52.6,24,14742,776730.6
6/7/24,52,53.8,52,53,55,104068,5507898.7
6/6/24,51.5,52.7,51.5,52.2,51,44361,2293447.8
6/5/24,51,51,50.7,50.9,38,8448,430368.1
6/4/24,51.5,51.5,50.5,51.2,23,12092,618372.3
6/3/24,50.2,51.2,50.1,50.8,38,34283,1731468.3
5/31/24,50,51.5,50,50.2,140,214378,10762780.8
5/30/24,52,52,50.8,51.5,74,52966,2705440.8
5/29/24,52,52,51.5,51.5,182,104351,5403705.1
5/28/24,53.5,53.5,53,53,26,10270,545662.5
5/27/24,53.1,53.7,52.9,53.3,68,48291,2566855.1
5/22/24,52.9,53.5,52.5,53.3,53,46957,2493928
5/21/24,52.1,53.3,52.1,52.9,29,15514,822328.1
5/20/24,53,53,51.9,52.1,89,96547,5052490.8
5/17/24,53.8,53.8,52.5,52.6,52,78093,4130191.9
5/16/24,53.2,53.2,52.6,52.9,29,15109,796442.2
5/15/24,52.8,53.5,52.6,52.6,60,60392,3191028.3
5/14/24,54.1,54.1,52.5,52.8,229,235930,12533935.5
5/13/24,54.1,54.5,54.1,54.1,47,22695,1232541.7
5/10/24,53.8,54.5,53.3,54,145,469722,25422267.4
5/9/24,53.5,53.9,52.6,53.7,80,39748,2115833.1
5/8/24,53.8,54,53.4,53.5,75,29183,1562478.3
5/7/24,54.5,54.8,53.5,53.8,139,241017,13068107.4
5/6/24,54,54.8,54,54.4,147,421121,22832596.1
5/3/24,53.3,54.3,53,54,224,265699,14278547.9
5/2/24,53.1,53.9,53.1,53.2,163,177580,9505290.6
4/30/24,53.5,53.8,53,53.2,121,98090,5238814.6
4/29/24,53,53.9,52.5,52.5,147,244136,12888109.2
4/26/24,52.3,53.2,52,52.9,124,111879,5894588.5
4/25/24,51.3,52.8,50.9,52.3,50,31870,1635930.1
4/24/24,51,51.4,50.2,51,59,40731,2078504.4
4/22/24,50,51.5,49.8,50.4,26,10008,504660.1
4/19/24,50.4,50.9,49.6,49.9,151,130561,6532724.3
4/18/24,51.6,51.9,50.5,50.8,88,48052,2451743.9
4/17/24,51.2,52.2,51.2,51.9,51,24990,1293311.6
4/16/24,52.1,52.5,51.5,51.8,93,93414,4847491.6
4/15/24,53,53,51.8,52.5,62,22798,1195816.3
4/10/24,52.7,53,52.3,52.8,47,32321,1706188.1
4/9/24,52.4,53,51.6,53,158,299804,15701941.7
4/8/24,52,52.4,51.5,51.9,90,90643,4712124.9
4/5/24,51.5,52,51.3,51.7,55,38695,1999278.8
4/4/24,51.9,52.2,51.2,51.9,124,172726,8970669.7
4/3/24,51.8,51.9,51.1,51.5,73,62596,3220961.5
4/2/24,51.1,52.1,51.1,51.9,110,222847,11501438.6
4/1/24,51.7,51.7,50.6,51,75,29476,1503570.1
3/28/24,51,51.9,51,51.7,74,60097,3091976.1
3/27/24,51.2,51.6,50.4,51.4,84,201984,10372653.9
3/26/24,49.6,51,49.4,50.9,114,231611,11726614.8
3/25/24,50.4,50.8,49.6,49.7,93,64759,3249528.4
3/22/24,48.4,50.2,48.3,50,190,127505,6342685.8
3/21/24,49.7,49.7,48.1,48.4,66,22479,1085806
3/20/24,48.8,49.5,48.3,49,84,179623,8796627
3/19/24,48.6,49,48.6,48.7,69,19798,964838.7
3/18/24,49.8,49.9,48.2,48.7,152,71778,3513201.4
3/15/24,50.5,50.5,49.7,49.9,85,52607,2625144.6
3/14/24,48.5,51.3,48.5,50,413,455239,22730836.2
3/13/24,54,54.9,53.7,54.5,481,860878,46871503.4
3/12/24,54,54.7,53.6,54,471,450937,24382047.4
3/11/24,52.3,54.7,52.3,53.8,460,918504,48979546.3
3/7/24,52.5,52.6,52,52.4,229,224164,11717385.3
3/6/24,52.6,52.7,52.1,52.3,164,120048,6277109.7
3/5/24,53.4,54,51.9,52.3,529,719433,37818282.4
3/4/24,51.6,53.4,51.6,52.9,181,204707,10771792.1
3/1/24,50.9,51.8,50.5,51.5,51,156781,8067867.4
2/29/24,52.5,52.5,50.9,51.1,131,43537,2239283.8
2/28/24,49.9,52.7,49.6,52.4,249,306065,15872219.9
2/27/24,48.3,50,48.3,49.9,245,848115,41808825.6
2/26/24,48.3,48.5,47.7,48.2,73,214645,10335882.8
2/22/24,48.4,48.4,48,48,38,70189,3384646.9
2/21/24,48.7,48.7,48.1,48.4,52,82693,4002511
2/20/24,49,49,48.1,48.1,59,62448,3051419
2/19/24,47.5,49.7,47.5,49,176,115469,5614969.9
2/16/24,46.6,47.6,46.6,47.1,39,129947,6116049.8
2/15/24,47,47.4,45.1,46.6,37,146404,6797808.5
2/14/24,46.5,47.4,46,47,69,367362,17227347.3
2/13/24,46.3,46.8,46,46.7,24,57276,2663022.5
2/12/24,46.3,46.6,46,46.1,27,39935,1851332.5
2/9/24,46.6,46.6,45.6,46,30,12361,570961.7
2/8/24,46.3,46.8,46.3,46.3,33,10899,504864.9
2/7/24,45.5,46.8,45.5,46.6,83,140740,6486387
2/6/24,44.8,45.9,44.8,45.5,66,60661,2753237.1
2/2/24,44.8,44.8,44.6,44.8,16,8386,375656.8
2/1/24,44.9,44.9,44.2,44.3,21,9565,424754.5
1/31/24,44.5,44.9,44.4,44.8,36,22045,986259
1/30/24,45,45,44.3,44.8,30,13706,612393.5
1/29/24,44.4,45.3,44.4,44.6,92,41432,1861486.2
1/26/24,43,44.5,43,44,142,219195,9620363.7
1/24/24,43,43.2,42,42.1,43,14349,605055.4
1/23/24,42.9,42.9,42.4,42.5,56,45385,1929837.5
1/22/24,43,43.4,42.7,42.9,14,3473,149324.4
1/19/24,43.5,43.5,43,43,12,4930,212283.7
1/18/24,43,43,42.6,42.7,10,1363,58256.6
1/17/24,43.3,44,42.9,43,35,10335,445333.1
1/16/24,43.6,44,43.3,43.3,9,779,33764.6
1/12/24,43.5,43.5,43.3,43.3,22,19290,838727.4
1/11/24,43.6,43.6,43.5,43.5,6,2701,117537.5
