Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,50,50.5,50,50,15,24266,1213433.5
7/4/24,50,50.8,49.8,49.8,41,53414,2668889.7
7/3/24,50.8,50.8,50.2,50.4,22,24557,1241892.5
7/2/24,50.8,50.8,50.8,50.8,11,9168,465734.4
7/1/24,50,50.8,49.8,50,16,4058,202935.5
6/28/24,50.9,51,50,50,44,42795,2140658.5
6/27/24,51,51,50.1,50.9,55,221611,11278758.6
6/26/24,51,51,50.6,50.7,18,92484,4710147.8
6/25/24,51,51,50.5,51,25,157423,8027825.1
6/24/24,51,51,50,50.7,49,76304,3869984.7
6/20/24,51,51,50.5,51,19,31339,1597092.8
6/19/24,50.1,51,50,50.7,48,43547,2198557.5
6/18/24,51.2,51.2,50.5,50.5,44,154160,7810394.2
6/14/24,52,52,51.2,51.9,11,2824,146646.8
6/13/24,52,52.5,51.8,51.8,20,12500,648650
6/12/24,53,53,51.6,51.9,32,70301,3662748
6/11/24,52.1,52.1,51.7,52,31,12918,669602.6
6/11/24,52.1,52.1,51.7,52,31,12918,669602.6
6/10/24,51.9,52.8,51.9,52.1,19,11480,601329.5
6/7/24,53,53,52,52,15,9961,518231.5
6/6/24,52,53,51.6,52,28,7682,398475.1
6/5/24,52,52.1,51.9,52,18,15565,809299.5
6/4/24,52.1,52.1,51.9,52,31,63217,3287280.3
6/3/24,52.3,53.2,52,52.1,27,26129,1365550.3
5/31/24,53.4,53.5,52.5,52.6,23,16031,851564.7
5/30/24,52.7,53.1,52.7,53.1,2,105,5573.5
5/29/24,53,53,51.8,52.6,31,24610,1292160.3
5/28/24,53.9,54,53,53.1,40,14407,768515.3
5/27/24,54,54,53,53.1,15,2624,139301.9
5/22/24,53,53.5,53,53.3,30,22880,1214878
5/21/24,53.8,53.8,52.5,52.5,32,39747,2092969
5/20/24,52.4,53.4,52.3,53,36,72759,3825822.4
5/17/24,52,53.4,52,52.5,28,17324,910445.7
5/16/24,53.9,53.9,53,53,31,58126,3081687.5
5/15/24,53.1,55,53.1,53.9,34,111754,6034638.8
5/14/24,55.5,55.5,54.1,54.3,51,73784,4011726.4
5/13/24,55,55.5,54.1,55.4,72,190803,10497233.5
5/10/24,55.1,55.4,55,55,33,119320,6569507.3
5/9/24,55.7,55.7,54.8,55.2,45,60958,3362209.7
5/8/24,55.6,56.5,55.1,55.2,32,35089,1956132.9
5/7/24,55.8,56.2,55.5,55.8,65,171338,9549823.8
5/6/24,54.5,56.3,54.5,55.6,180,479973,26696225
5/3/24,53.5,54.5,52.8,54.3,91,937202,50838731.6
5/2/24,53.1,53.7,53,53.3,85,220381,11759323.2
4/30/24,53.5,54,52.6,53.5,45,20350,1087913.3
4/29/24,52.7,53.4,52.6,53.1,85,123219,6512005.9
4/26/24,52.4,52.7,52,52.5,48,53442,2804730.2
4/25/24,51.5,53,50.5,52.7,52,29130,1514161.5
4/24/24,51.1,51.5,50.5,51.3,33,12017,616621.3
4/22/24,50.7,51.9,50,51,22,12135,616832.8
4/19/24,50.4,50.7,49.8,50.5,36,11876,599517.3
4/18/24,51.1,51.5,50.4,50.5,31,23707,1200770.4
4/17/24,51.6,52,50.6,51.1,43,45981,2347980.1
4/16/24,52,52.8,51.9,52.2,45,26361,1371352.8
4/15/24,52,52.7,52,52,29,43961,2286520.5
4/10/24,52.9,52.9,51.9,52,30,71830,3743255.8
4/9/24,53,53,52.3,52.5,27,30951,1631190.2
4/8/24,52.5,53.5,52.5,52.8,77,243130,12880788.8
4/5/24,52.5,52.5,51.6,52,27,133563,6943730.5
4/4/24,52.3,52.9,51.5,51.5,29,99380,5132073.8
4/3/24,53,53,52.2,52.9,37,76230,4021691.8
4/2/24,52,53,51.2,52.9,103,261796,13739917.7
4/1/24,51.3,52,51.3,51.7,84,204851,10607196.8
3/28/24,51,51.7,50.6,51.5,127,571154,29383591.8
3/27/24,49.2,50.9,49.2,50.5,21,15770,791091.5
3/26/24,50.1,50.1,49,49.9,19,18452,908854.7
3/25/24,51.2,51.2,50,50.3,23,42131,2145125.5
3/22/24,51,51.1,50.5,51,34,40995,2082878.4
3/21/24,50,52,50,50.8,43,30350,1544092.8
3/20/24,49.4,50,48.1,49.5,63,192288,9541028.2
3/19/24,50,50,48.1,48.6,26,12148,590262.6
3/18/24,50.5,51.4,48.2,48.8,37,54752,2671770.5
3/15/24,50,50,48.1,49.5,28,9323,460006.8
3/14/24,50,51,50,50.3,42,234191,11784207.7
3/13/24,51.5,51.5,48.1,49.9,21,20711,1048211.2
3/12/24,50.9,51.5,50,50,21,26823,1346577.9
3/11/24,50.6,51.5,50.5,50.8,34,29251,1489714
3/7/24,50,51.1,50,50.5,14,19570,991585
3/6/24,50.8,52,50,50.2,75,740587,38676969.5
3/5/24,50,52,50,50.6,64,334146,16960073.7
3/4/24,48.8,50,48.5,49.9,151,395657,19650893.7
3/1/24,47.5,49.5,47.5,48.8,82,187972,9117741.3
2/29/24,47.7,48.4,47.5,48,46,199176,9546717.2
2/28/24,47.2,47.7,47,47.3,26,59219,2797991.1
2/27/24,46,48,46,47.9,28,22360,1065745.8
2/26/24,47,47.9,45.7,46.1,43,17500,828117.4
2/22/24,46.5,47,45.4,45.5,24,31641,1454095.5
2/21/24,46,46.5,46,46.5,10,3226,149654.5
2/20/24,45.3,46.5,45.2,46.1,14,6637,305838.4
2/19/24,45.5,46.3,45.5,45.5,16,11582,529635.8
2/16/24,44.8,46.5,44.5,44.6,24,69864,3129504
2/15/24,44.5,45,44.5,44.8,14,1774,79028
2/14/24,44.4,44.6,44.3,44.4,29,253409,11254670
2/13/24,44.3,44.9,44.3,44.4,19,155703,6897797.9
2/12/24,45,45,44.2,44.5,19,20180,892664.1
2/9/24,44.4,45.5,44.2,44.5,31,262160,11875698.6
2/8/24,45,45,44,44.5,75,164273,7313378.8
2/7/24,46,46.5,45.4,46.5,12,25226,1167781.1
2/6/24,46.4,46.4,45.3,46,20,10986,503674.6
2/2/24,46.5,46.5,45.8,46.1,13,2338,107578.9
2/1/24,45.5,46.2,45.5,46.2,11,51770,2391767.1
1/31/24,47.8,48,45.5,46,19,6474,303716
1/30/24,46,48,45.5,45.5,11,152233,7001872.1
1/29/24,45.4,47,45.2,46,31,823020,37858295.3
1/26/24,47,47,45.3,46.5,12,1736,81172.7
1/24/24,45.3,47,45.2,45.4,33,114859,5270668.7
1/23/24,46.2,46.2,45.2,46,27,50123,2291687.1
1/22/24,47,47,45.2,46.1,16,9269,421852.9
1/19/24,46,46.5,46,46,13,11352,524999
1/18/24,47,47,47,46.3,1,20,940
1/17/24,47.5,47.5,46.3,46.3,18,3294,153978.4
1/16/24,47,48,45.1,45.7,34,330301,15822446.1
1/12/24,46.9,47,46.5,47,16,29192,1371680.5
1/11/24,47,47,47,47,3,1765,82955
1/10/24,46,47,45,45.8,33,115672,5286072.9
1/9/24,47.2,47.2,46,46,25,10102,464961.7
1/8/24,46.8,47.8,46.8,47,9,17747,833683.2
1/5/24,46.1,47,46.1,46.5,14,5369,248866
1/4/24,47,47.8,46,46.2,29,63902,2949927.7
1/3/24,45.9,47.2,45.9,47.2,11,5517,256792
1/2/24,46,46,45.5,45.6,17,5112,234485.6
12/29/23,45.6,46,45.6,46,5,512,23547.2
12/29/23,45.6,46,45.6,46,5,512,23547.2
12/28/23,46.4,47.9,46.4,47,18,10549,495986.8
12/27/23,47,47,44.8,45.5,18,6383,287447.9
12/22/23,45.2,46.8,45,45,31,37846,1703125.1
12/21/23,46.9,46.9,45,45.2,21,9050,408273.2
12/20/23,47,47.3,45.4,45.4,7,1879,85492.4
12/19/23,47.3,47.3,46,46,10,753,35053.5
12/18/23,45.9,47.4,45.5,46.1,32,11792,542915.9
12/15/23,46,49,46,47.1,46,136470,6482141.6
12/14/23,47.8,47.8,45.9,47.5,7,551,26204.9
12/13/23,45.9,45.9,45.8,45.9,15,3082,141456.6
12/12/23,46,48,45.2,46.4,44,46885,2168838.9
12/11/23,45,46.9,44.5,46.9,41,123447,5555381.7
12/8/23,44.6,44.9,44.5,44.6,22,5708,254604
12/7/23,45,45,44.6,44.6,20,7139,319149.9
12/6/23,45.6,45.9,44.3,45,29,8588,387017.3
12/5/23,45.2,46,45,45.6,37,210973,9498871.7
12/4/23,46.8,46.8,45,45.4,54,112421,5163662.2
12/1/23,47.4,47.5,47.3,47.5,10,4428,210201.6
11/30/23,47.5,47.5,47,47,15,28014,1316909
11/29/23,47.5,47.5,47,47,20,22739,1069732.5
11/28/23,47,47.2,46.8,47,12,1111,52213.4
11/27/23,47.1,47.1,47,47.1,6,4172,196501.1
11/24/23,47,48.9,47,47.6,42,40368,1930561.8
11/23/23,47,47,46,46.2,22,6342,293276.5
11/22/23,46.8,47,46.5,47,6,3340,155900
11/21/23,47.2,47.2,46.5,46.5,18,13358,622340.4
11/20/23,48,48,47,47.1,13,2618,124151
11/17/23,50,50,47,47.4,25,1452,69386.6
11/16/23,48,48,47.5,47.6,7,354,16851.7
11/15/23,48.5,49.5,47.5,49.5,34,6921,334868.2
11/14/23,48.5,49,48,48.5,27,12266,593064
11/13/23,48.2,48.9,47.9,48.5,37,29109,1400195.5
11/10/23,48,50.8,48,48.2,15,5952,299846.2
11/9/23,48.8,50.9,48,48.2,49,56435,2730517.4
11/8/23,49,50,48.5,50,26,25917,1263392.2
11/7/23,48.5,49,48.5,48.7,15,4481,218083.5
11/6/23,49.8,49.8,48.3,48.3,17,7030,344185.6
11/3/23,49,49.9,48.9,49,14,6401,313514.8
11/2/23,49,51.4,48.9,48.9,21,11464,566711.7
11/1/23,51,51.3,49,49,20,7968,394424
10/31/23,51,51,49.1,49.3,19,3346,165265.7
10/30/23,52,52.3,51.7,51.7,10,831,43151.7
10/27/23,49.9,52.7,49,52.5,81,404549,21231644.3
10/26/23,48.6,50,48.5,49.5,51,748094,37141453.4
10/25/23,49.5,49.5,48.9,48.9,21,4467,219087.2
10/24/23,49.7,50,49.4,49.5,59,80469,3991143.6
10/23/23,50.8,51.8,50,51,59,262861,13148914.6
10/20/23,50.3,50.9,50,50.7,33,126888,6352305.8
10/19/23,50,51.2,50,50.3,24,5241,264452.1
10/18/23,51,51.5,50.1,50.1,25,103478,5276649.4
10/17/23,51.5,51.5,51,51.1,25,22672,1159030.7
10/16/23,51.8,52,51.4,51.5,27,22143,1142657.3
10/13/23,51.6,52,51.6,51.7,13,1084,56029.6
10/12/23,51.5,52,51.5,52,27,172039,8938183.5
10/11/23,52,52.5,51.6,51.6,53,104848,5444173.7
10/10/23,52,52.9,51.1,52.1,38,115917,6044596.2
10/9/23,52.2,53,51,52,42,40185,2082852.8
10/6/23,54,54,52.5,52.6,24,39994,2116848.3
10/5/23,53.6,54.7,53.6,53.9,38,58294,3141879.4
10/4/23,52.1,54.5,52.1,54.5,46,123239,6690366.3
10/3/23,55.3,55.3,52.2,52.2,40,24794,1307245
10/2/23,55.3,55.5,53,53.3,40,47069,2546811.5
9/27/23,55,55.6,54,55,32,49558,2725251.4
9/26/23,55.5,55.6,54.5,55.3,51,130844,7232815.7
9/25/23,55.2,55.5,54,54.5,66,66903,3668385.8
9/22/23,55.5,55.5,54.8,55,61,90752,4998138.3
9/21/23,55.6,56,55,55.1,52,14022,773331.4
9/20/23,56.5,56.5,55.5,55.6,55,24455,1360316.4
9/19/23,56,56.5,55.6,56.1,176,368234,20603889.3
9/18/23,57.3,57.3,54.5,55.7,175,1153161,64416575.3
9/15/23,57.4,57.4,56.7,57.2,24,108412,6200564.4
9/14/23,57.1,57.4,56.8,57.1,29,20943,1195174.1
9/13/23,56.2,57.1,56.2,56.9,24,34563,1965555.7
9/12/23,56.1,56.7,56,56.4,39,75365,4229634.6
9/11/23,57,57,56.1,56.5,34,78086,4406369.4
9/8/23,57.1,57.8,56.5,56.7,63,992196,56074427.9
9/7/23,56.1,58,56.1,57,27,44187,2525998.1
9/6/23,57,57.5,56.5,57,86,221751,12609755.5
9/5/23,58,58,56.2,56.8,71,48989,2779565
9/4/23,58,58.6,57.5,58,66,81416,4724722.7
9/1/23,57,58,57,57.8,53,188886,10897973
8/31/23,56.2,57.9,56.2,57,50,157424,8916999.7
8/29/23,57,57.3,56.4,56.4,41,136400,7709985.6
8/28/23,57,58.5,57,57.3,68,121119,6956107.3
8/25/23,56.5,58,56.5,57,50,174883,10007484.9
8/24/23,57,57,56.5,56.6,35,15600,887387.5
8/23/23,56.2,57,56.2,56.8,37,25995,1475298
8/22/23,57,57.5,57,57.1,46,54162,3095682.5
8/21/23,58,59.5,57,57.5,89,140037,8233309.9
8/18/23,57.9,58.4,56.5,58,114,240610,13812398.4
8/17/23,56,57.6,56,57.3,111,410186,23332860.7
8/16/23,55.5,56.5,55.5,56,129,883536,49473188.8
8/15/23,55.3,56.9,55.1,56,52,118777,6646665.6
8/14/23,57,57,54.9,56,60,119422,6688498
8/11/23,56.3,57,56,56.3,64,323322,18363927.2
8/10/23,55.6,57,55.6,56.7,71,122443,6912710.5
8/9/23,57,57,55.6,56,28,12954,725545.5
8/8/23,55.6,57,55.6,56.3,88,377936,21175509.5
8/7/23,56.3,57,55.8,55.8,63,159902,8995029.6
8/4/23,56.9,57.5,56.4,57,76,86381,4915113.3
8/3/23,58,58,56.6,57,97,1497761,85374281.7
8/2/23,57,58.1,57,57,75,299143,17150174.1
7/31/23,57.4,57.4,56.5,56.7,98,607037,34624468.8
7/28/23,58,58,56.4,57,79,454344,25898878.7
7/27/23,56.5,58.3,56.5,57.2,118,598652,34209248.9
7/26/23,57,57.2,56,56.5,68,302939,17229893.9
7/25/23,57.1,58,56.5,57.6,84,136870,7833856.2
7/24/23,57,57.3,57,57.1,66,191157,10915345.6
7/21/23,58,58.6,57,57.3,157,177795,10314705.6
7/19/23,55.1,57.2,55.1,57,126,563480,32109072.7
7/18/23,57.1,57.4,55.2,57,123,310496,17621930.4
7/17/23,57,57.6,57,57.4,133,242062,13858124
7/14/23,57,57.2,56.7,57,131,489228,27857503.4
7/13/23,56,57.3,55.4,56.9,169,562906,31928893.6
7/12/23,55.8,56.4,55.2,56,67,165925,9310715.1
7/11/23,56.1,56.1,55,55.5,92,241827,13367106.7
7/10/23,55.3,56.1,55.2,56,211,688796,38359960.4
7/7/23,53,55.1,53,55,347,1865311,101121106.7
7/6/23,51.1,53,51.1,52.7,297,1300624,67870754
7/5/23,51.8,52,50.6,51,73,224318,11463879.4
7/4/23,50.1,52,50.1,51.8,191,814592,41449080.5
6/28/23,47.2,49.6,47.2,49.1,74,174482,8490031.5
6/27/23,47.2,47.6,47.2,47.2,18,19644,933793.8
6/26/23,47.1,48.5,46,48.1,119,309775,14697600
6/23/23,46.4,47.4,46.4,47,75,101221,4758476.5
6/22/23,45,46.9,45,46.3,109,246984,11366392.1
6/21/23,45,45.4,44.1,44.4,39,30054,1337576.1
6/20/23,44,45,44,45,9,58995,2652149.5
6/19/23,45.4,45.4,43.6,44,40,35724,1571558.7
