Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,76.5,76.5,74.1,75.5,38,36442,2736670.8
7/4/24,76.5,76.8,75,75.2,48,9329,706085.6
7/3/24,77.9,77.9,76.9,76.9,25,36406,2800277
7/2/24,77.5,77.9,77,77.5,20,4657,359797.7
7/1/24,77.9,77.9,77.4,77.4,13,1116,86385.4
6/28/24,77.7,78,77.4,78,30,12391,963771.4
6/27/24,78,78,77.6,77.7,24,7257,565178.7
6/26/24,77.9,78,77.4,78,24,76072,5933333.6
6/25/24,78,78,77.5,77.9,6,1098,85386
6/24/24,78,78,77.1,77.9,15,3164,245774.3
6/20/24,78,78.9,77,78,69,193152,15060279.4
6/19/24,79,79,77.5,78,44,12766,996976.5
6/18/24,79,79,77.7,79,17,5423,425065
6/14/24,78.6,79,78.6,78.7,25,5814,457607.3
6/13/24,78.6,78.7,78.6,78.7,12,1892,148772.5
6/12/24,79,79.8,78.9,79,38,49747,3931644.9
6/11/24,81.2,81.2,79.2,79.3,37,21749,1730467.1
6/11/24,81.2,81.2,79.2,79.3,37,21749,1730467.1
6/10/24,78,82.5,78,80.1,149,161334,12907958.7
6/7/24,77,78.2,76.5,77.9,17,2235,172130.7
6/6/24,78,78.3,76.5,77,33,38919,2990751.5
6/5/24,78,78.3,77.1,77.6,16,4920,383755.3
6/4/24,76.5,79,76.5,78.8,39,11578,911534.9
6/3/24,78,80,77.3,78.6,88,125030,9912510.2
5/31/24,75.5,79,75.4,77.7,81,35675,2728728.1
5/30/24,75.5,75.5,75.1,75.4,24,8644,650625
5/29/24,75.6,75.9,75,75.6,33,9996,753803.2
5/28/24,75,76.2,75,75.2,33,18350,1389903.9
5/27/24,75,75,74.1,75,22,4367,326645.2
5/22/24,75,76.7,74,74.9,92,127066,9508864.4
5/21/24,72.2,73.5,72.2,73.2,51,55787,4079581.2
5/20/24,72.9,73,72.3,73,23,2578,187715.8
5/17/24,72.2,72.9,72.2,72.5,10,744,53906.9
5/16/24,72.5,72.5,72.2,72.4,7,3195,231228.5
5/15/24,73,73,72,72,12,1536,111077
5/14/24,72.1,73.5,72,72,33,41451,2984878.2
5/13/24,73,73.3,72,72.1,24,4159,300126.2
5/10/24,72.6,73.4,72,72.5,31,12203,884958.1
5/9/24,72.7,73,72.5,72.7,19,5956,432354.4
5/8/24,72.7,73.8,72.5,73,18,10624,772907
5/7/24,73.1,73.1,72.8,72.8,15,2945,214881
5/6/24,73.1,73.9,73.1,73.3,12,1918,140526.4
5/3/24,73.9,73.9,73,73.3,11,670,49163.5
5/2/24,73.9,73.9,73.7,73.7,9,2065,152218
4/30/24,73,73.8,72.5,73.4,42,31641,2314661.5
4/29/24,72.9,74,72.2,73.4,33,17514,1282731.6
4/26/24,72,73,71.7,73,21,3737,270654
4/25/24,71.7,72,71.5,71.9,15,5030,360013.2
4/24/24,71.4,71.7,71,71.6,27,18497,1317764.3
4/22/24,71.5,71.5,70,71,15,1574,111375.6
4/19/24,70.5,71.5,70.1,70.4,28,6837,479723.2
4/18/24,70.3,71.8,70.3,71.2,8,314,22359.7
4/17/24,70.6,71.9,70.2,71.9,12,1036,73787.8
4/16/24,71.4,71.9,70.6,71,41,12229,869982.3
4/15/24,72,72.5,71.5,71.9,34,25037,1800893.2
4/10/24,71.7,72.5,71.7,72,9,2241,161276.2
4/9/24,73.5,73.5,71.5,73,21,11403,825397.5
4/8/24,71.3,73.5,71.2,72.9,62,213643,15500532
