Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,8.9,8.9,8.4,8.7,27,41486,366265.4
7/4/24,8.8,8.9,8.6,8.8,23,17637,154061.3
7/3/24,9.5,9.5,8.9,9,33,36584,338139.2
7/2/24,9.1,9.5,9,9.5,60,94097,877156.7
7/1/24,8.5,9.4,8.5,8.9,130,429084,3803015
6/28/24,8.5,8.7,8.5,8.6,19,12491,107390.4
6/27/24,8.6,8.6,8.5,8.5,5,5073,43127.8
6/26/24,8.5,8.5,8.5,8.5,8,1280,10880
6/25/24,8.1,8.4,8.1,8.4,20,44294,371343.5
6/24/24,8.1,8.1,7.4,8.1,6,38266,309709.3
6/20/24,8.2,8.3,8.2,8.2,2,26,214.3
6/19/24,8.2,8.2,8.2,8.2,3,8809,72233.8
6/18/24,8.2,8.3,8.2,8.2,2,1114,9135.3
6/14/24,8.3,8.3,8.3,8.3,3,1105,9171.5
6/13/24,8.1,8.9,8.1,8.8,6,39511,346247.9
6/12/24,7.4,8.5,7.4,8.5,63,60024,468319.8
6/11/24,7.4,7.4,7.4,7.4,13,4146,30680.4
6/11/24,7.4,7.4,7.4,7.4,13,4146,30680.4
6/10/24,7.2,7.4,7.1,7.3,13,12767,92315.5
6/7/24,7.2,7.4,7.2,7.4,9,12514,90219.8
6/6/24,7.2,7.2,7.2,7.2,4,390,2808
6/5/24,7.1,7.2,7.1,7.2,7,10145,73029.5
6/4/24,7,7.2,7,7.2,8,8854,63268.8
6/3/24,7.2,7.2,7.2,7.1,1,50,360
5/31/24,7.1,7.2,7.1,7.1,11,16390,116498
5/30/24,7,7,7,7,1,200,1400
5/29/24,7.2,7.2,7.1,7.1,2,250,1780
5/28/24,7.1,7.1,7.1,7.1,1,1000,7100
5/27/24,7,7.1,7,7,3,10005,70035.5
5/22/24,7.1,7.1,7.1,7.1,3,6612,46945.2
5/21/24,7.1,7.1,7.1,7.1,7,15520,110192
5/20/24,6.5,7,6.5,7,4,14067,98444
5/17/24,7.1,7.1,7.1,7.1,5,3485,24743.5
5/16/24,7.1,7.1,7.1,7.1,4,5500,39050
5/15/24,7,7.1,6.8,7,14,17998,125586
5/14/24,7,7,6.9,7,5,3501,24506.9
5/10/24,7.2,7.2,7.2,7.2,6,2617,18842.4
5/9/24,7.2,7.2,7.2,7.2,1,10,72
5/8/24,7.1,7.2,7.1,7.2,16,7600,54460
5/7/24,7,7.1,7,7.1,13,5302,37460.3
5/6/24,7,7,7,7,5,2002,14014
5/3/24,7,7.1,6.8,6.9,10,10657,74020
5/2/24,7.1,7.1,7,7,2,313,2201
4/30/24,7.1,7.1,7.1,7.1,1,5,35.5
4/29/24,6.9,7.2,6.9,7.1,19,26014,183786.6
4/26/24,6.8,6.8,6.8,6.9,1,75,510
4/25/24,6.7,6.9,6.7,6.9,3,781,5368.9
4/24/24,6.7,7,6.6,6.9,32,41344,277694.5
4/22/24,6.7,6.7,6.7,6.7,5,21451,143721.7
4/19/24,6.7,6.8,6.5,6.7,41,164002,1091548.7
4/18/24,6.7,6.8,6.6,6.6,12,6983,46700
4/16/24,6.7,6.8,6.6,6.8,16,47951,325144.3
4/15/24,6.8,6.9,6.7,6.7,8,24452,164548.3
4/10/24,6.6,6.8,6.6,6.8,31,16341,110309.5
4/9/24,6.6,6.6,6.5,6.6,10,11830,77063
4/8/24,6.4,6.6,6.4,6.6,14,6374,41195.8
4/5/24,6.5,6.6,6.5,6.6,17,15990,104935
4/4/24,6.5,6.5,6.3,6.5,30,125914,817729
4/3/24,5.9,6.6,5.9,6.1,38,226228,1419592.8
4/2/24,5.7,5.8,5.7,5.8,8,17745,102649
4/1/24,5.7,5.8,5.7,5.7,6,10377,59152.1
3/28/24,5.8,5.8,5.6,5.6,4,1157,6501.6
3/27/24,5.6,5.8,5.6,5.7,10,41474,234934.7
3/26/24,5.7,5.9,5.5,5.7,16,4754,27977.6
3/25/24,5.5,5.9,5.5,5.9,13,40704,224922
3/22/24,5.3,5.5,5.3,5.5,3,2313,12291.5
3/21/24,5.4,5.4,5.4,5.4,3,7000,37800
3/20/24,5.5,5.5,5.4,5.4,3,5200,28100
3/19/24,5.4,5.5,5.4,5.4,15,22600,122150
3/18/24,5.5,5.5,5.4,5.4,19,63911,345807.5
3/15/24,5.5,5.5,5.4,5.4,3,2703,14668.7
3/14/24,5.4,5.4,5.3,5.4,10,229533,1216925.9
3/13/24,5.4,5.4,5.4,5.4,5,2019,10902.6
3/12/24,5.5,5.5,5.4,5.4,8,2120,11450.2
3/11/24,5.4,5.4,5.3,5.3,54,572239,3038178.2
3/7/24,5.4,5.4,5.4,5.3,3,39,210.6
3/6/24,5.3,5.5,5.3,5.3,22,171643,920251.3
3/5/24,5.3,5.4,5.3,5.4,4,8100,43730
3/4/24,5.4,5.4,5.3,5.3,8,22743,121462.2
3/1/24,5.3,5.3,5.3,5.3,4,9988,52936.4
2/29/24,5.3,5.3,5.2,5.3,14,31297,165350.6
2/28/24,5.3,5.3,5.3,5.3,3,11,58.3
2/27/24,5.2,5.4,5.2,5.3,9,13417,70327
2/26/24,5.2,5.3,5.2,5.2,12,17156,89276.2
2/22/24,5.2,5.2,5.2,5.2,2,505,2626
2/21/24,5.2,5.2,5.2,5.2,7,40,208
2/20/24,5.2,5.2,5.2,5.2,6,960,4992
2/19/24,5.2,5.2,5.1,5.2,9,4330,22486
2/16/24,5.2,5.2,5.2,5.2,2,1069,5558.8
2/15/24,5.2,5.3,5.2,5.2,10,30431,158291.2
2/14/24,5.2,5.2,5.1,5.1,14,42290,215755.4
2/13/24,5.2,5.2,5.1,5.2,12,9499,49293.4
2/12/24,5.2,5.2,5.2,5.2,18,15345,79794
2/9/24,5,5.2,5,5.1,9,43810,224872.6
2/8/24,5.1,5.1,5.1,5.1,5,2432,12403.2
2/7/24,5.1,5.1,5.1,5.1,12,37771,192632.1
2/6/24,5,5.1,5,5.1,4,5058,25793
2/2/24,5,5,5,5,1,1000,5000
2/1/24,5,5,5,5,4,312,1560
1/31/24,5,5,4.9,4.9,5,644,3159
1/30/24,4.9,5.1,4.9,4.9,5,9025,44242.5
1/29/24,5.1,5.1,5.1,5.1,2,600,3060
1/26/24,5.1,5.1,5,5.1,4,525,2676
1/24/24,5.1,5.1,5.1,5.1,1,500,2550
1/23/24,5.1,5.1,5,5,2,3100,15510
1/22/24,4.8,5.1,4.8,4.8,7,16295,78886
1/19/24,4.7,4.7,4.7,4.7,5,900,4230
1/18/24,4.8,4.8,4.6,4.8,28,49591,230889.7
1/17/24,5.1,5.1,5.1,5.1,1,411,2096.1
1/16/24,5,5,5,5,2,564,2820
1/11/24,5.2,5.2,5.1,5.1,2,1005,5130
