Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,51.5,51.5,50.5,50.6,308,911888,46328661
7/4/24,52.7,53,51.3,51.4,293,296241,15373707.2
7/3/24,54.4,54.4,52.7,52.9,196,151107,8014861.2
7/2/24,54,54,53.6,53.6,145,94356,5079030.6
7/1/24,53.1,54.5,53.1,54,155,158901,8545561.2
6/28/24,52.9,53.9,52.9,53,100,477879,25332348.5
6/27/24,53.2,54,53,53,189,526766,27996907.6
6/26/24,54,54,53.5,53.5,64,163447,8768647.4
6/25/24,54.5,54.8,53.3,53.8,72,97184,5249941.7
6/24/24,55,55.5,54.5,54.5,74,139240,7629144.8
6/20/24,55,55,54.6,54.8,79,79446,4366236.3
6/19/24,54.8,55.1,54.7,55,70,127918,7034556.3
6/18/24,55.4,55.8,54,54.9,93,50560,2763133.1
6/14/24,56,56.3,55.5,55.5,107,598248,33229409.8
6/13/24,57,57,56,56,65,72068,4082198.3
6/12/24,57,57.8,56.5,57,107,148789,8474665.7
6/11/24,56.5,58,56.4,57,279,835805,48141399.3
6/11/24,56.5,58,56.4,57,279,835805,48141399.3
6/10/24,55.9,56.5,55.2,56,126,167487,9371133.2
6/7/24,55.6,55.9,54.8,55,99,324408,17996054
6/6/24,54.5,55.8,54.4,55.6,180,481909,26590133
6/5/24,53.4,54.5,53.3,54,68,208686,11245364.3
6/4/24,53,54,51.3,53.2,98,235953,12461673.4
6/3/24,53.5,53.5,50,52.7,58,10997,575035.6
5/31/24,54,55,52.9,53.2,87,178855,9558668.8
5/30/24,54.4,55,54.1,54.2,83,171949,9377769.9
5/29/24,54.9,55,54,54.1,50,48484,2628513.1
5/28/24,54,54.8,54,54.4,88,573762,31200628.5
5/27/24,55,55,54,54.1,65,64865,3520045.6
5/22/24,53.4,55,53.4,54.6,96,543876,29419802.2
5/21/24,53.1,54,52.6,53.1,113,385502,20443434.6
5/20/24,55.2,55.9,52.5,53.4,144,329499,17785522.4
5/17/24,55,55.1,54.3,54.9,120,538460,29499649
5/16/24,55.1,56,54.5,54.5,141,472027,25905756.4
5/15/24,56,57.5,54.8,55,194,590603,32709471.4
5/14/24,56.2,56.2,55.1,55.6,129,496562,27695998.8
5/13/24,56.9,57.9,56,56.2,108,98538,5569575.1
5/10/24,56.1,57.5,56.1,56.8,156,357163,20315126.6
5/9/24,56.5,56.5,54.8,56,195,657648,36725343.4
5/8/24,56.4,57,55.9,56.2,128,171148,9630094.5
