Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,8.6,8.6,8.4,8.5,59,113415,960113.9
7/4/24,8.6,8.7,8.4,8.5,101,285050,2437322.9
7/3/24,8.7,8.8,8.6,8.7,33,99915,869166.1
7/2/24,8.7,8.8,8.6,8.8,50,350488,3054697.1
7/1/24,8.6,8.8,8.6,8.7,54,209537,1821584.7
6/28/24,8.7,8.8,8.6,8.7,34,73692,640578.7
6/27/24,8.7,8.8,8.6,8.7,76,95537,832825.4
6/26/24,8.7,8.8,8.6,8.7,76,170186,1471634.6
6/25/24,8.7,8.8,8.6,8.7,76,325250,2828217.3
6/24/24,8.6,8.7,8.5,8.7,74,151457,1315347
6/20/24,8.5,8.7,8.5,8.6,51,88057,756811.5
6/19/24,8.5,8.7,8.4,8.6,55,112965,961609.5
6/18/24,8.6,8.6,8.4,8.5,57,77550,659466.3
6/14/24,8.5,8.6,8.4,8.6,71,167474,1425353
6/13/24,8.6,8.6,8.4,8.5,44,104849,889315.5
6/12/24,8.5,8.5,8.4,8.5,54,192836,1632806.7
6/11/24,8.5,8.5,8.3,8.5,78,318916,2701730.8
6/11/24,8.5,8.5,8.3,8.5,78,318916,2701730.8
6/10/24,8.5,8.5,8.3,8.4,53,79519,667599.6
6/7/24,8.3,8.5,8.3,8.4,123,891626,7473040.2
6/6/24,8.2,8.4,8.2,8.3,85,264615,2201725.2
6/5/24,8.2,8.3,8.2,8.2,69,237813,1967680.9
6/4/24,8.1,8.3,8.1,8.2,80,1479894,12022121.9
6/3/24,8.1,8.2,8,8.1,28,183539,1488949.4
5/31/24,8.2,8.2,8,8.1,30,51491,419244.5
5/30/24,8,8.2,8,8.1,29,14045,113648.6
5/29/24,8.1,8.2,8,8,42,103911,843102.6
5/28/24,8.1,8.2,8,8.1,26,107711,865075.8
5/27/24,8.1,8.2,8,8.1,59,348717,2834968.5
5/22/24,8,8.1,8,8.1,46,85445,688008
5/21/24,7.9,8.1,7.8,8.1,78,648517,5211658.3
5/20/24,7.9,7.9,7.8,7.8,113,613549,4822994.3
5/17/24,8.1,8.1,7.8,7.9,75,405007,3211554.1
5/16/24,7.9,8.1,7.9,8,92,268096,2143853.6
5/15/24,7.9,8,7.9,7.9,65,219200,1737679.3
5/14/24,8,8,7.9,7.9,62,204886,1628841.7
5/13/24,8,8,7.8,8,46,83209,658856.2
5/10/24,7.9,8,7.9,7.9,37,28172,222797.9
5/9/24,7.9,8,7.8,7.9,88,374466,2952761.9
5/8/24,8,8,7.9,8,60,170946,1367297
5/7/24,7.9,8,7.8,7.9,54,479131,3785030.7
5/6/24,8,8,7.8,7.9,52,77804,615704.4
5/3/24,7.9,8,7.8,7.9,85,81134,642127.7
5/2/24,7.9,8,7.7,7.9,126,1446785,11444593.2
4/30/24,7.8,7.9,7.7,7.8,59,204543,1590996.1
4/29/24,7.7,7.9,7.6,7.8,101,1261706,9737433.6
4/26/24,7.7,7.8,7.6,7.7,72,207809,1600520.4
4/25/24,7.7,7.8,7.6,7.8,48,127388,982857.4
4/24/24,7.7,7.7,7.6,7.6,116,288270,2202534.9
4/22/24,7.7,7.7,7.6,7.7,64,56226,430940.9
4/19/24,7.7,7.7,7.5,7.6,65,262005,1987428.1
4/18/24,7.7,7.8,7.6,7.6,42,157564,1212291.8
4/17/24,7.8,7.8,7.6,7.7,47,159846,1236815.7
4/16/24,7.7,7.8,7.5,7.7,102,359823,2755763.6
4/15/24,7.6,7.7,7.5,7.6,87,287006,2178616.6
4/10/24,7.6,7.7,7.5,7.6,53,228970,1740615.4
4/9/24,7.6,7.7,7.6,7.6,78,335881,2554105
4/8/24,7.7,7.7,7.5,7.6,82,352624,2684237.3
4/5/24,7.6,7.7,7.6,7.7,67,272359,2089548.3
4/4/24,7.7,7.8,7.6,7.6,68,269743,2065937.1
4/3/24,7.6,7.8,7.6,7.7,152,920824,7088332
4/2/24,7.6,7.7,7.5,7.6,97,478099,3643928.2
4/1/24,7.5,7.7,7.4,7.6,116,736140,5536706
3/28/24,7.5,7.5,7.4,7.4,83,877217,6524457.4
3/27/24,7.4,7.5,7.3,7.5,116,443836,3285297.6
3/26/24,7.3,7.4,7.3,7.3,125,346268,2529465.6
3/25/24,7.4,7.4,7.3,7.3,51,137291,1003021.8
3/22/24,7.3,7.4,7.3,7.4,66,202820,1499556.9
3/21/24,7.5,7.5,7.3,7.3,60,127679,935847
3/20/24,7.4,7.5,7.3,7.4,99,340224,2520569.3
3/19/24,7.5,7.5,7.3,7.4,76,285395,2115770.4
3/18/24,7.5,7.5,7.4,7.4,83,327989,2437783.9
3/15/24,7.3,7.5,7.2,7.4,147,953458,7055869.9
3/14/24,7.2,7.3,7.2,7.2,114,690831,5003053
3/13/24,7.3,7.3,7.2,7.2,109,442870,3208659.9
3/12/24,7.3,7.3,7.2,7.2,94,347556,2524979.2
3/11/24,7.3,7.4,7.2,7.2,209,969508,7033177.2
3/7/24,7.4,7.5,7.3,7.3,184,661539,4859028.5
3/6/24,7.9,7.9,7.2,7.4,645,3391749,25357866.9
3/5/24,9,9.2,8.9,9.1,452,4929816,44700882.2
3/4/24,9,9.1,8.9,8.9,321,3747092,33561459.8
3/1/24,9.2,9.2,9,9.1,283,2499614,22711420.8
2/29/24,9.1,9.3,9,9.1,258,2673967,24483722.7
2/28/24,8.8,9.2,8.8,9.1,504,5591044,50353469
2/27/24,8.5,8.8,8.4,8.8,1163,18295844,158427214.7
2/26/24,7.8,7.8,7.7,7.7,47,575373,4434580.4
2/22/24,7.7,7.9,7.7,7.8,60,692652,5394176.9
2/21/24,7.6,7.8,7.6,7.7,43,278713,2146575.1
2/20/24,7.6,7.9,7.6,7.7,65,425982,3285167.7
2/19/24,7.6,7.7,7.4,7.6,72,785341,5971632.3
2/16/24,7.5,7.6,7.4,7.5,52,92720,699955.2
