Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,87,88.5,85.2,88.5,175,90427,7808567.2
7/4/24,89.5,89.9,85.8,86.3,230,90222,7871805.7
7/3/24,90,90.4,89.5,89.5,99,43921,3936566.8
7/2/24,90.7,91,90,90.1,92,39204,3542773.2
7/1/24,94,94,90.1,90.7,226,100865,9246025.3
6/28/24,96.3,97.2,96,96.9,225,263542,25465733.6
6/27/24,97,97.8,96.1,96.3,161,92317,8918118.8
6/26/24,97,97.2,96.8,97,106,130540,12666567.5
6/25/24,96.5,97.2,96,97,99,75815,7333254.9
6/24/24,95.8,96.4,95.6,96.3,87,53115,5100066.1
6/20/24,95.4,95.7,95,95.6,47,35151,3354083.4
6/19/24,95.2,96,94.5,95.9,118,42609,4057222.8
6/18/24,95.4,95.7,95.1,95.6,68,21417,2040920.3
6/14/24,96.1,96.5,95,95.4,137,108983,10385871.6
6/13/24,97,97.3,96,96.1,83,43810,4242146.8
6/12/24,97,97.9,96.5,97.1,60,8771,849990.8
6/11/24,96.1,97.8,96.1,97.6,125,62364,6057536.5
6/11/24,96.1,97.8,96.1,97.6,125,62364,6057536.5
6/10/24,96.5,96.5,95.5,96,74,79467,7630909.9
6/7/24,94.8,97,94,96.1,139,106352,10168047.4
6/6/24,93.7,94.6,93.7,94.5,98,64788,6115853.9
6/5/24,93.8,94,93.6,93.7,77,71619,6712719.8
6/4/24,94.2,94.2,93.6,93.8,80,44656,4193578.2
6/3/24,94.5,94.5,93.5,93.8,99,101852,9567969.4
5/31/24,94,94.2,93.5,93.6,161,100828,9462563.7
5/30/24,93.9,94.9,93.4,93.9,328,272165,25554205.3
5/29/24,92.5,93,92.5,92.6,45,17846,1652504.1
5/28/24,93.6,93.6,92.5,92.5,54,42519,3968455.6
5/27/24,93,94,92.3,93.6,147,51243,4782513.8
5/22/24,91.4,93,91.4,92.7,79,51816,4799985.9
5/21/24,91.1,91.3,91.1,91.3,40,10848,988979.7
5/20/24,92,92.5,91,91.1,58,61474,5610770.2
5/17/24,91.8,92.1,91.5,91.9,35,18035,1654082
5/16/24,91.5,92,91,91.8,75,86861,7931401.8
5/15/24,91,91.6,90.8,91,66,82706,7532842.5
5/14/24,91.7,91.9,90.3,91,114,141343,12861963.4
5/13/24,91,92,90.6,91,154,244551,22285051.8
5/10/24,90,91.9,90,90.1,111,99457,8963373.4
5/9/24,89.5,90,89.2,90,72,40689,3658258.9
5/8/24,89.1,90,89.1,89.5,85,25464,2278454.2
5/7/24,90.1,90.2,89.1,89.4,101,22830,2046574.1
5/6/24,89.9,90.5,89.1,90.1,66,33873,3047835.8
5/3/24,90.8,90.8,89,90,111,134251,11984882.9
5/2/24,90,91,90,90.1,69,35060,3158073.8
4/30/24,90,91.3,89,90.3,77,24865,2234934.6
4/29/24,92.4,92.4,89,90,235,152104,13658809.3
4/26/24,91,92.2,91,92,179,143886,13231707.6
4/25/24,90.1,91.5,90.1,91.2,128,52443,4772982.3
4/24/24,89,91.9,89,90.2,342,370816,33548765.1
4/22/24,85.1,88,85.1,87.7,60,18003,1571800.3
4/19/24,85.1,86.9,84,85.5,92,22438,1906590.3
4/18/24,86,86.5,85,85.5,77,46110,3929714.3
4/17/24,85,86.8,84.9,86.1,260,319171,27129595.2
4/16/24,87.5,87.5,85.1,85.9,260,107436,9296451.5
4/15/24,88.5,88.5,87.2,87.5,80,97105,8520149.5
4/10/24,89,89,88,88.5,33,38431,3400796
4/9/24,88,89,87,88.3,81,64291,5652747.7
4/8/24,88.3,88.5,86.9,87,138,121605,10598225.7
4/5/24,87.1,89,87.1,88,65,63820,5626278.1
4/4/24,88.2,89.5,87,88.5,180,283728,25178988.3
