Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,133,133,132.5,132.5,16,3020,400170.25
7/4/24,134.25,134.25,132.5,132.75,11,1120,149090.25
7/3/24,136,147,133,134,8,516,69141.25
7/2/24,134,134,133,133,4,224,29817
7/1/24,137.75,138.5,132.5,138,7,273,37696.5
6/28/24,137.75,137.75,137.75,133.75,1,16,2204
6/27/24,133.5,133.5,133,133.75,6,95,12655.5
6/26/24,133.75,133.75,133.5,133.75,2,130,17383.75
6/25/24,138.5,138.5,135,136.75,4,60,8117.5
6/24/24,137.75,138,135.5,136.75,3,172,23513.25
6/19/24,135.25,135.25,132,138,4,31,4136.25
6/18/24,137.75,137.75,135,138,4,8,1085.5
6/14/24,137.75,137.75,137.75,138,2,10,1377.5
6/12/24,137,137,137,138,2,7,959
6/11/24,138,138,138,138,2,146,20148
6/11/24,138,138,138,138,2,146,20148
6/10/24,139,139,139,132.5,1,7,973
6/6/24,138,138,138,132.5,2,2,276
6/3/24,132.5,133,132,132.5,17,1710,225877.5
5/31/24,132.5,139.5,132.5,132,5,27,3724.75
5/30/24,133,133,133,132,4,21,2793
5/29/24,139.5,139.5,139.25,132,5,18,2510.5
5/28/24,137,137,137,132,1,1,137
5/27/24,139.75,139.75,138.5,132,2,12,1674.5
5/22/24,139.75,139.75,139.75,132,2,7,978.25
5/20/24,139.5,139.5,139.5,132,1,1,139.5
5/16/24,141,141,130.75,132,10,201,26563.5
5/15/24,135,135,135,138.25,1,7,945
5/13/24,133,133,132.5,138.25,2,50,6645
5/10/24,142.5,142.5,142.5,138.25,2,32,4560
5/9/24,139.5,139.5,138,138.25,7,1092,150840.5
5/8/24,140,143.75,140,140,5,550,77168.75
5/7/24,144,144,140,140,4,290,40672
5/6/24,144,145.5,140,140,13,459,65451.5
5/3/24,143.5,144,138,138,8,1066,147501
5/2/24,138,144.5,138,133.5,6,53,7540.5
4/30/24,138.25,138.25,133.25,133.5,7,1061,141729
4/29/24,139,146,138.25,138.5,4,113,15654.5
4/26/24,148.75,148.75,138,138.25,5,218,30214.5
4/25/24,138.5,138.5,138.5,138.5,8,250,34625
4/24/24,138.5,141,138.5,138.5,6,54,7565
4/22/24,140,140,140,138.5,1,6,840
4/19/24,140,140,140,138.5,2,4,560
4/18/24,138.75,140.75,137,138.5,9,309,42774
4/17/24,140.75,140.75,140.5,139.5,5,17,2391.25
4/16/24,141.25,144.75,138,139.5,32,239,33230
4/15/24,137.25,164,137.25,155,21,1299,201454.5
4/9/24,136.75,145,136.75,137,7,109,14940.5
4/8/24,137.25,137.25,136,136,6,460,62569.75
4/4/24,132,137.5,132,132,4,41,5417.5
4/3/24,132,132,132,132,1,1,132
4/2/24,136.75,136.75,132,132,5,115,15227.5
4/1/24,137,137,132,131,7,51,6778
